"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Document Type","Source"
"Kosie J.E.; Lew-Williams C.","Kosie, Jessica E. (57203823010); Lew-Williams, Casey (16233623900)","57203823010; 16233623900","Infant-directed communication: Examining the many dimensions of everyday caregiver-infant interactions","2024","Developmental Science","27","5","e13515","","","","10.1111/desc.13515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190873590&doi=10.1111%2fdesc.13515&partnerID=40&md5=60eeeb18011dd8ca669183e7f9602796","Everyday caregiver-infant interactions are dynamic and multidimensional. However, existing research underestimates the dimensionality of infants’ experiences, often focusing on one or two communicative signals (e.g., speech alone, or speech and gesture together). Here, we introduce “infant-directed communication” (IDC): the suite of communicative signals from caregivers to infants including speech, action, gesture, emotion, and touch. We recorded 10 min of at-home play between 44 caregivers and their 18- to 24-month-old infants from predominantly white, middle-class, English-speaking families in the United States. Interactions were coded for five dimensions of IDC as well as infants’ gestures and vocalizations. Most caregivers used all five dimensions of IDC throughout the interaction, and these dimensions frequently overlapped. For example, over 60% of the speech that infants heard was accompanied by one or more non-verbal communicative cues. However, we saw marked variation across caregivers in their use of IDC, likely reflecting tailored communication to the behaviors and abilities of their infant. Moreover, caregivers systematically increased the dimensionality of IDC, using more overlapping cues in response to infant gestures and vocalizations, and more IDC with infants who had smaller vocabularies. Understanding how and when caregivers use all five signals—together and separately—in interactions with infants has the potential to redefine how developmental scientists conceive of infants’ communicative environments, and enhance our understanding of the relations between caregiver input and early learning. Research Highlights: Infants’ everyday interactions with caregivers are dynamic and multimodal, but existing research has underestimated the multidimensionality (i.e., the diversity of simultaneously occurring communicative cues) inherent in infant-directed communication. Over 60% of the speech that infants encounter during at-home, free play interactions overlap with one or more of a variety of non-speech communicative cues. The multidimensionality of caregivers’ communicative cues increases in response to infants’ gestures and vocalizations, providing new information about how infants’ own behaviors shape their input. These findings emphasize the importance of understanding how caregivers use a diverse set of communicative behaviors—both separately and together—during everyday interactions with infants. © 2024 The Authors. Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Orrantia J.; Muñez D.; Sánchez R.; Matilla L.","Orrantia, Josetxu (35617617900); Muñez, David (55180598300); Sánchez, Rosario (57203147707); Matilla, Laura (57194557194)","35617617900; 55180598300; 57203147707; 57194557194","Mapping skills between symbols and quantities in preschoolers: The role of finger patterns","2024","Developmental Science","27","5","e13529","","","","10.1111/desc.13529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192928451&doi=10.1111%2fdesc.13529&partnerID=40&md5=8ad3d552212ce43cf65acca52b22faba","Mapping skills between different codes to represent numerical information, such as number symbols (i.e., verbal number words and written digits) and non-symbolic quantities, are important in the development of the concept of number. The aim of the current study is to investigate children's mapping skills by incorporating another numerical code that emerges at early stages in development, finger patterns. Specifically, the study investigates (i) the order in which mapping skills develop and the association with young children's understanding of cardinality; and (ii) whether finger patterns are processed similarly to symbolic codes or rather as non-symbolic quantities. Preschool children (3-year-olds, N = 113, Mage = 40.8 months, SDage = 3.6 months; 4-year-olds, N = 103, Mage = 52.9 months, SDage = 3.4 months) both cardinality knowers and subset-knowers, were presented with twelve tasks that assessed the mappings between number words, Arabic digits, finger patterns, and quantities. The results showed that children's ability to map symbolic numbers precedes the understanding that such symbols reflect quantities, and that children recognize finger patterns above their cardinality knowledge, suggesting that finger patterns are symbolic in essence. Research Highlights: Children are more accurate in mapping between finger patterns and symbols (number words and Arabic digits) than in mapping finger patterns and quantities, indicating that fingers are processed holistically as symbolic codes. Children can map finger patterns to symbols above their corresponding cardinality level even in subset-knowers. Finger patterns may play a role in the process by which children learn to map symbols to quantities. Fingers patterns’ use in the classroom context may be an adequate instructional and diagnostic tool. © 2024 The Authors. Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Dolfi S.; Decarli G.; Lunardon M.; De Filippo De Grazia M.; Gerola S.; Lanfranchi S.; Cossu G.; Sella F.; Testolin A.; Zorzi M.","Dolfi, Serena (57217218335); Decarli, Gisella (57216917837); Lunardon, Maristella (57221724899); De Filippo De Grazia, Michele (55567827900); Gerola, Silvia (57949954200); Lanfranchi, Silvia (24314589600); Cossu, Giuseppe (7006464273); Sella, Francesco (43361799700); Testolin, Alberto (55763594100); Zorzi, Marco (7102431895)","57217218335; 57216917837; 57221724899; 55567827900; 57949954200; 24314589600; 7006464273; 43361799700; 55763594100; 7102431895","Weaker number sense accounts for impaired numerosity perception in dyscalculia: Behavioral and computational evidence","2024","Developmental Science","27","6","e13538","","","","10.1111/desc.13538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197458373&doi=10.1111%2fdesc.13538&partnerID=40&md5=98c74ab8ac082cf82664f384272a14de","Impaired numerosity perception in developmental dyscalculia (low “number acuity”) has been interpreted as evidence of reduced representational precision in the neurocognitive system supporting non-symbolic number sense. However, recent studies suggest that poor numerosity judgments might stem from stronger interference from non-numerical visual information, in line with alternative accounts that highlight impairments in executive functions and visuospatial abilities in the etiology of dyscalculia. To resolve this debate, we used a psychophysical method designed to disentangle the contribution of numerical and non-numerical features to explicit numerosity judgments in a dot comparison task and we assessed the relative saliency of numerosity in a spontaneous categorization task. Children with dyscalculia were compared to control children with average mathematical skills matched for age, IQ, and visuospatial memory. In the comparison task, the lower accuracy of dyscalculics compared to controls was linked to weaker encoding of numerosity, but not to the strength of non-numerical biases. Similarly, in the spontaneous categorization task, children with dyscalculia showed a weaker number-based categorization compared to the control group, with no evidence of a stronger influence of non-numerical information on category choice. Simulations with a neurocomputational model of numerosity perception showed that the reduction of representational resources affected the progressive refinement of number acuity, with little effect on non-numerical bias in numerosity judgments. Together, these results suggest that impaired numerosity perception in dyscalculia cannot be explained by increased interference from non-numerical visual cues, thereby supporting the hypothesis of a core number sense deficit. Research Highlights: A strongly debated issue is whether impaired numerosity perception in dyscalculia stems from a deficit in number sense or from poor executive and visuospatial functions. Dyscalculic children show reduced precision in visual numerosity judgments and weaker number-based spontaneous categorization, but no increasing reliance on continuous visual properties. Simulations with deep neural networks demonstrate that reduced neural/computational resources affect the developmental trajectory of number acuity and account for impaired numerosity judgments. Our findings show that weaker number acuity in developmental dyscalculia is not necessarily related to increased interference from non-numerical visual cues. © 2024 The Author(s). Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Brummelman E.; Bos P.A.; de Boer E.; Nevicka B.; Sedikides C.","Brummelman, Eddie (55587340400); Bos, Peter A. (25959843500); de Boer, Eva (58996380700); Nevicka, Barbara (45661694000); Sedikides, Constantine (7003355759)","55587340400; 25959843500; 58996380700; 45661694000; 7003355759","Reciprocal self-disclosure makes children feel more loved by their parents in the moment: A proof-of-concept experiment","2024","Developmental Science","27","6","e13516","","","","10.1111/desc.13516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190939607&doi=10.1111%2fdesc.13516&partnerID=40&md5=764e39429c87a8bf84f52326fb46af34","Feeling loved by one's parents is critical for children's health and well-being. How can such feelings be fostered? A vital feature of loving interactions is reciprocal self-disclosure, where individuals disclose intimate information about themselves. In a proof-of-concept experiment, we examined whether encouraging reciprocal self-disclosure in parent-child dyads would make children feel more loved during the conversation. Participants were 218 children (ages 8–13, 50% girls, 94% Dutch) and one of their parents (ages 28–56, 62% women, 90% Dutch). Parent-child dyads received a list of 14 questions and took turns asking them each other for 9 min. Dyads were assigned randomly to engage in self-disclosure (questions invoking escalated intimacy) or small talk (questions invoking minimal intimacy). Before and after, children reported how loved they felt by their parent during the conversation. Self-disclosure made children feel more loved during the conversation than did small talk. Compared to small talk, self-disclosure did not instigate conversations that were lengthier or more positive; rather, it instigated conversations that were more emotionally charged (reflecting anger, anxiety, and sadness), social (discussing family and friends), reflective (creating insight), and meaningful (addressing deeply personal topics, including the passing of loved ones). The dyad's gender composition did not significantly moderate these effects. Our research suggests that reciprocal self-disclosure can make children feel more loved in the moment, uncovers linguistic signatures of reciprocal self-disclosure, and offers developmental scientists a tool to examine causal effects of reciprocal self-disclosure in parent-child dyads. Future work should examine long-term effects in everyday parent-child interactions. Research Highlights: How can parents make children feel more loved by them in the moment? We theorize that these feelings can be cultivated through reciprocal self-disclosure. In a proof-of-concept experiment, we examined effects of reciprocal self-disclosure versus small talk in 218 parent-child dyads, with children aged 8−13. Self-disclosure (vs. small talk) made children feel more loved during the conversation. Linguistically, self-disclosure instigated conversations that were more emotionally charged, social, reflective, and meaningful. This research provides an experimental method to study self-disclosure in parent-child dyads and suggests that self-disclosure can make children feel more loved in the moment. © 2024 The Authors. Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Choisdealbha Á.N.í.; Attaheri A.; Rocha S.; Mead N.; Olawole-Scott H.; Alfaro e Oliveira M.; Brough C.; Brusini P.; Gibbon S.; Boutris P.; Grey C.; Williams I.; Flanagan S.; Goswami U.","Choisdealbha, Áine Ní (37065037300); Attaheri, Adam (56454382600); Rocha, Sinead (56312385700); Mead, Natasha (36466870700); Olawole-Scott, Helen (57221349037); Alfaro e Oliveira, Maria (58079987200); Brough, Carmel (58080285600); Brusini, Perrine (55877608300); Gibbon, Samuel (57221346660); Boutris, Panagiotis (57221341823); Grey, Christina (57223351100); Williams, Isabel (57221338797); Flanagan, Sheila (57195416981); Goswami, Usha (7004856869)","37065037300; 56454382600; 56312385700; 36466870700; 57221349037; 58079987200; 58080285600; 55877608300; 57221346660; 57221341823; 57223351100; 57221338797; 57195416981; 7004856869","Cortical tracking of visual rhythmic speech by 5- and 8-month-old infants: Individual differences in phase angle relate to language outcomes up to 2 years","2024","Developmental Science","27","4","e13502","","","","10.1111/desc.13502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188056778&doi=10.1111%2fdesc.13502&partnerID=40&md5=439c45029ebd81d4b8bbf3d0b39d6c94","It is known that the rhythms of speech are visible on the face, accurately mirroring changes in the vocal tract. These low-frequency visual temporal movements are tightly correlated with speech output, and both visual speech (e.g., mouth motion) and the acoustic speech amplitude envelope entrain neural oscillations. Low-frequency visual temporal information (‘visual prosody’) is known from behavioural studies to be perceived by infants, but oscillatory studies are currently lacking. Here we measure cortical tracking of low-frequency visual temporal information by 5- and 8-month-old infants using a rhythmic speech paradigm (repetition of the syllable ‘ta’ at 2 Hz). Eye-tracking data were collected simultaneously with EEG, enabling computation of cortical tracking and phase angle during visual-only speech presentation. Significantly higher power at the stimulus frequency indicated that cortical tracking occurred across both ages. Further, individual differences in preferred phase to visual speech related to subsequent measures of language acquisition. The difference in phase between visual-only speech and the same speech presented as auditory-visual at 6- and 9-months was also examined. These neural data suggest that individual differences in early language acquisition may be related to the phase of entrainment to visual rhythmic input in infancy. Research Highlights: Infant preferred phase to visual rhythmic speech predicts language outcomes. Significant cortical tracking of visual speech is present at 5 and 8 months. Phase angle to visual speech at 8 months predicted greater receptive and productive vocabulary at 24 months. © 2024 The Authors. Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Geva S.; Hoskote A.; Saini M.; Clark C.A.; Banks T.; Chong W.K.K.; Baldeweg T.; de Haan M.; Vargha-Khadem F.","Geva, Sharon (36941109000); Hoskote, Aparna (6507851178); Saini, Maneet (58360911000); Clark, Christopher A. (55290679000); Banks, Tina (45961050200); Chong, W. K. Kling (57203031127); Baldeweg, Torsten (7003274699); de Haan, Michelle (7004346948); Vargha-Khadem, Faraneh (7004489148)","36941109000; 6507851178; 58360911000; 55290679000; 45961050200; 57203031127; 7003274699; 7004346948; 7004489148","Cognitive outcome and its neural correlates after cardiorespiratory arrest in childhood","2024","Developmental Science","27","4","e13501","","","","10.1111/desc.13501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189609394&doi=10.1111%2fdesc.13501&partnerID=40&md5=d577c503745167d3cccffcb38d36b188","Hypoxia-ischaemia (HI) can result in structural brain abnormalities, which in turn can lead to behavioural deficits in various cognitive and motor domains, in both adult and paediatric populations. Cardiorespiratory arrest (CA) is a major cause of hypoxia-ischaemia in adults, but it is relatively rare in infants and children. While the effects of adult CA on brain and cognition have been widely studied, to date, there are no studies examining the neurodevelopmental outcome of children who suffered CA early in life. Here, we studied the long-term outcome of 28 children who suffered early CA (i.e., before age 16). They were compared to a group of control participants (n = 28) matched for age, sex and socio-economic status. The patient group had impairments in the domains of memory, language and academic attainment (measured using standardised tests). Individual scores within the impaired range were most commonly found within the memory domain (79%), followed by academic attainment (50%), and language (36%). The patient group also had reduced whole brain grey matter volume, and reduced volume and fractional anisotropy of the white matter. In addition, lower performance on memory tests was correlated with bilaterally reduced volume of the hippocampi, thalami, and striatum, while lower attainment scores were correlated with bilateral reduction of fractional anisotropy in the superior cerebellar peduncle, the main output tract of the cerebellum. We conclude that patients who suffered early CA are at risk of developing specific cognitive deficits associated with structural brain abnormalities. Research Highlights: Our data shed light on the long-term outcome and associated neural mechanisms after paediatric hypoxia-ischaemia as a result of cardiorespiratory arrest. Patients had impaired scores on memory, language and academic attainment. Memory impairments were associated with smaller hippocampi, thalami, and striatum. Lower academic attainment correlated with reduced fractional anisotropy of the superior cerebellar peduncle. © 2024 The Authors. Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Williams A.I.; Liu C.; Zhou Q.; Wu J.; Meng L.; Fang Deng X.; Chen S.H.","Williams, Aya Inamori (56524831200); Liu, Chang (57204000348); Zhou, Qing (55722124600); Wu, Jinli (57212584754); Meng, Lionel (59220489800); Fang Deng, Xue (59220598400); Chen, Stephen H. (54896771100)","56524831200; 57204000348; 55722124600; 57212584754; 59220489800; 59220598400; 54896771100","Parental expressions of love in Chinese American immigrant families: Implications for children's attachment security","2024","Developmental Science","27","6","e13549","","","","10.1111/desc.13549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198665168&doi=10.1111%2fdesc.13549&partnerID=40&md5=4fa737e3e38182b7e0fa68c2064dce13","Harlow's seminal work on the nature of attachment focused on the importance of warm, responsive, and loving relationships in children's healthy development. While the need for love and care is arguably universal, the ways in which these emotions are expressed can vary across cultural contexts. We examined how Chinese American parents’ expressions of love were associated with children's attachment security. A total of 110 Chinese American immigrant parent–child dyads (children 7–11 years old, 49% girls) participated in 3-min conversations in which parents were instructed to communicate love and care. Proposition-level analyses in speech (total 8825 propositions) identified three types of affection: training (guan and chiao shun); relational affection (qin); and validation (acceptance and encouragement of child's own expression of emotion, thoughts, and behaviors). Higher training was observed in parents with lower American orientation and lower income. Higher relational affection was observed in parents with lower income. Higher validation was observed in parents with higher income. Using path analyses, training and validation were found to be positively associated with children's attachment security beyond parenting styles. Effects of parents’ relational affection were moderated by children's American orientation. Results demonstrate how immigrant parents draw on multiple cultural scripts to express love and care. These findings expand traditional concepts of parental love in immigrant families and illustrate how bicultural expressions of love can shape attachment security in middle childhood. A video abstract of this article can be viewed at https://youtu.be/HqUfIDxkFsE. Research Highlights: Analyses of parent-child discussions identified three parental affection styles (i.e., training, relational affection, and validation) as expressions of love and care in Chinese American immigrant families. Training and validation were positively associated with children's attachment security. Relational affection was associated with lower attachment security for children with higher American cultural orientation, suggesting the effects of parent–child expressions of love are shaped by acculturation. © 2024 John Wiley & Sons Ltd.","Article","Scopus"
"Schreiner M.S.; Zettersten M.; Bergmann C.; Frank M.C.; Fritzsche T.; Gonzalez-Gomez N.; Hamlin K.; Kartushina N.; Kellier D.J.; Mani N.; Mayor J.; Saffran J.; Shukla M.; Silverstein P.; Soderstrom M.; Lippold M.","Schreiner, Melanie S. (57146973200); Zettersten, Martin (56043074700); Bergmann, Christina (56419492900); Frank, Michael C. (16432698900); Fritzsche, Tom (57186489700); Gonzalez-Gomez, Nayeli (54083138600); Hamlin, Kiley (58145100500); Kartushina, Natalia (56331465000); Kellier, Danielle J. (57223980513); Mani, Nivedita (16316879900); Mayor, Julien (35303029900); Saffran, Jenny (7004173811); Shukla, Mohinish (7102610427); Silverstein, Priya (57208014168); Soderstrom, Melanie (7006059474); Lippold, Matthias (56811246100)","57146973200; 56043074700; 56419492900; 16432698900; 57186489700; 54083138600; 58145100500; 56331465000; 57223980513; 16316879900; 35303029900; 7004173811; 7102610427; 57208014168; 7006059474; 56811246100","Limited evidence of test-retest reliability in infant-directed speech preference in a large preregistered infant experiment","2024","Developmental Science","27","6","e13551","","","","10.1111/desc.13551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199173929&doi=10.1111%2fdesc.13551&partnerID=40&md5=80b9c3b72b841b756afa5c783627342a","Test-retest reliability—establishing that measurements remain consistent across multiple testing sessions—is critical to measuring, understanding, and predicting individual differences in infant language development. However, previous attempts to establish measurement reliability in infant speech perception tasks are limited, and reliability of frequently used infant measures is largely unknown. The current study investigated the test-retest reliability of infants’ preference for infant-directed speech over adult-directed speech in a large sample (N = 158) in the context of the ManyBabies1 collaborative research project. Labs were asked to bring in participating infants for a second appointment retesting infants on their preference for infant-directed speech. This approach allowed us to estimate test-retest reliability across three different methods used to investigate preferential listening in infancy: the head-turn preference procedure, central fixation, and eye-tracking. Overall, we found no consistent evidence of test-retest reliability in measures of infants’ speech preference (overall r = 0.09, 95% CI [−0.06,0.25]). While increasing the number of trials that infants needed to contribute for inclusion in the analysis revealed a numeric growth in test-retest reliability, it also considerably reduced the study's effective sample size. Therefore, future research on infant development should take into account that not all experimental measures may be appropriate for assessing individual differences between infants. Research Highlights: We assessed test-retest reliability of infants’ preference for infant-directed over adult-directed speech in a large pre-registered sample (N = 158). There was no consistent evidence of test-retest reliability in measures of infants’ speech preference. Applying stricter criteria for the inclusion of participants may lead to higher test-retest reliability, but at the cost of substantial decreases in sample size. Developmental research relying on stable individual differences should consider the underlying reliability of its measures. © 2024 The Author(s). Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Singh L.; Rajendra S.J.","Singh, Leher (23989353700); Rajendra, Sarah J. (57919246300)","23989353700; 57919246300","Greater attention to socioeconomic status in developmental research can improve the external validity, generalizability, and replicability of developmental science","2024","Developmental Science","27","5","e13521","","","","10.1111/desc.13521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191302975&doi=10.1111%2fdesc.13521&partnerID=40&md5=d9ffabdfb46a73b81ae8d3b663d88910","Psychological researchers have been criticized for making broad presumptions about human behavior based on limited sampling. In part, presumptive generalizability is reflected in the limited representation of sociodemographic variation in research reports. In this analysis, we examine time-trends in reporting of a key sociodemographic construct relevant to many aspects of child development—socioeconomic status (SES)—across six mainstream developmental journals (Infancy, Child Development, Developmental Science, Developmental Psychology, Infant and Child Development, and Infant Behavior & Development) between 2016 and 2022. Findings point to limited reporting of SES across developmental journals and across time. Reporting rates varied significantly by region and by topic of development. In terms of specific indicators of SES, there was consistent use of income and caregiver education as SES indicators. The epistemic costs of the lack of integration of socio-economic factors in developmental research are addressed. Pathways to greater integration of SES are proposed. Research Highlights: We analyzed reporting and representation of socioeconomic status in published studies on early child development. A large proportion of published studies did not report any socio-economic information. Suggestions for greater attention to socioeconomic status are proposed. © 2024 The Authors. Developmental Science published by John Wiley & Sons Ltd.","Article","Scopus"
"Zhang J.; Chen J.; Ding G.","Zhang, Jia. (57216299972); Chen, Jie. (58151583700); Ding, Guosheng. (7201791746)","57216299972; 58151583700; 7201791746","Universality and language specificity of brain reading networks: A developmental perspective","2024","Developmental Science","27","5","e13379","","","","10.1111/desc.13379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150637922&doi=10.1111%2fdesc.13379&partnerID=40&md5=70017861efdee2795b58010b4fc848e9","The development of reading networks across different languages and cultures provides an important window to address gene-culture interactions in brain functionality development. Previous meta-analyses have explored the neural correlates of reading in different languages with diverse orthographic transparencies. However, it remains unknown whether the neural topographic relationship of different languages varies when taking development into account. To address this issue, we conducted meta-analyses of neuroimaging studies with approaches of activation likelihood estimation and seed-based effect size mapping and focused on two highly contrasting languages, Chinese and English. The meta-analyses covered 61 studies of Chinese reading and 64 studies of English reading by native speakers. The brain reading networks of child and adult readers were further separately analyzed and compared to explore the developmental effects. The results revealed that the commonalities and differences in reading networks for Chinese and English were inconsistent between children and adults. In addition, the reading networks converged with development, and the effects of writing systems on brain function organizations were more salient in the initial stages of reading. An interesting finding was that the left inferior parietal lobule demonstrated increased effect sizes in adults compared with children in both Chinese and English reading, indicating a common developmental feature of reading mechanisms across the two languages. These findings provide new insights into the functional evolution and cultural modulation of brain reading networks. Research Highlights: Meta-analyses with approaches of activation likelihood estimation and seed-based effect size mapping were performed to evaluate the developmental characteristics of brain reading networks. The engagement of universal and language-specific reading networks was different between children and adults, and the reading networks converged with increased reading experience. Overall the middle/inferior occipital and inferior/middle frontal gyrus were specific to Chinese and the middle temporal, right inferior frontal gyrus were specific to English. The left inferior parietal lobule was engaged more in adults than children in Chinese and English reading, demonstrating a common developmental feature of reading mechanisms. © 2023 John Wiley & Sons Ltd.","Article","Scopus"
