"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Document Type","Source"
"Yehuda M.B.; Murphy R.A.; Le Pelley M.E.; Navarro D.J.; Yeung N.","Yehuda, Michael Ben (57221564182); Murphy, Robin A. (7403470954); Le Pelley, Mike E. (6603589906); Navarro, Danielle J. (7004873645); Yeung, Nick (6603836808)","57221564182; 7403470954; 6603589906; 7004873645; 6603836808","Confidence Regulates Feedback Processing During Human Probabilistic Learning","2024","Journal of Experimental Psychology: General","154","1","","80","95","15","10.1037/xge0001669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210738759&doi=10.1037%2fxge0001669&partnerID=40&md5=6f27bc9bc242bb533bd2e2a022851f3d","Uncertainty presents a key challenge when learning how best to act to attain a desired outcome. People can report uncertainty in the form of confidence judgments, but how such judgments contribute to learning and subsequent decisions remains unclear. In a series of three experiments employing an operant learning task, we tested the hypothesis that confidence plays a central role in learning by regulating resource allocation to the seeking and processing of feedback. We predicted that, as participants’ confidence in their task knowledge grew, they would discount feedback when it was provided and be correspondingly less willing to pay for it when it was costly. Consistent with these predictions, we found that higher confidence was associated with reduced electrophysiological markers of feedback processing and decreased updating of beliefs following feedback receipt. Bayesian modeling suggests that this decrease in processing was due to a drop in the expected informative value of novel information when participants were highly confident. Thus, when choosing whether to pay a fee to receive further feedback, participants’ subjective confidence, rather than the objective accuracy of their decisions, guided their choices. Overall, our results suggest that confidence regulates learning and subsequent decision making. © 2024 The Author(s)","Article","Scopus"
"Hochman S.; Havedanloo R.; Heysieattalab S.; Soltanlou M.","Hochman, Shachar (57201995161); Havedanloo, Reyhane (59458306200); Heysieattalab, Soomaayeh (36088892300); Soltanlou, Mojtaba (55229311000)","57201995161; 59458306200; 36088892300; 55229311000","How Does Language Modulate the Association Between Number and Space? A Registered Report of a Cross-Cultural Study of the Spatial–Numerical Association of Response Codes Effect","2024","Journal of Experimental Psychology: General","154","2","","305","324","19","10.1037/xge0001653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211050005&doi=10.1037%2fxge0001653&partnerID=40&md5=ff4e2ec63b4ec01e0a0b2a68c7917f58","Past investigations into the connection between space and numbers have revealed its potential vulnerability to external influences such as cultural factors, including language. This study aims to examine whether language moderates the association between space and number in the spatial–numerical association of response codes (SNARC) effect, which is demonstrated in an interaction between number magnitude and response side. The SNARC effect has been observed across various stimuli. However, research on the influence of linguistic factors, such as reading direction, on the SNARC effect has yielded contradictory findings.We systematically examined the moderating effect of language on the SNARC effect in a cross-cultural design.A group of British English speakers and a group of Iranian Farsi speakers performed four SNARC tasks including both explicit (magnitude classification) and implicit (parity judgment) processing of number magnitude in two modalities of visual and auditory presentations. To the best of our knowledge, this is the first systematic investigation of language, magnitude processing, and sensory modalities altogether. While our registered analyses found no group differences in SNARC tasks, nonregistered analyses using a Bayesian ex-Gaussian framework revealed novel findings: a stronger SNARC effect in slower responses and auditory tasks. These findings challenge the idea of a substantial language role in shaping the SNARC effect but also indicate large uncertainty regarding the exact nature of language-induced effects, highlighting the need for further investigations of spatial– numerical interactions that may be differently influenced by linguistic and cultural factors. © 2024 American Psychological Association","Article","Scopus"
"De Freitas J.; Rips L.J.","De Freitas, Julian (56490067100); Rips, Lance J. (7004056959)","56490067100; 7004056959","Is Personal Identity Intransitive?","2024","Journal of Experimental Psychology: General","154","3","","775","786","11","10.1037/xge0001711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213517519&doi=10.1037%2fxge0001711&partnerID=40&md5=0802870a864d4a5e5a731856b73e5162","There has been a call for a potentially revolutionary change to our existing understanding of the psychological concept of personal identity. Apparently, people can psychologically represent people, including themselves, as multiple individuals at the same time. Here, we ask whether the intransitive judgments found in these studies truly reflect the operation of an intransitive concept of personal identity.Wemanipulate several factors that arbitrate between transitivity and intransitivity and find most support for transitivity: In contrast to the prior work, most participants do not make intransitive judgments when there is any reason to favor one individual over another. People change which single individual they personally identify with, depending on which individual competes more strongly or weakly for identity, rather than identifying with both individuals. Even when two individuals are identical and therefore both entitled to be the same person, we find that people make more transitive judgments once they understand the practical commitments of their responses (Experiment 4) and report not being able to actually imagine two perspectives simultaneously when reasoning about the scenario (Experiment 5). In short, we suggest that while people may make intransitive judgments, these do not reflect that they psychologically represent identity in an intransitive manner. © 2024 American Psychological Association","Article","Scopus"
"Vollberg M.C.; Cikara M.","Vollberg, Marius C. (57039073600); Cikara, Mina (36514320100)","57039073600; 36514320100","Affective Prediction Errors in Persistence and Escalation of Aggression","2024","Journal of Experimental Psychology: General","153","6","","1551","1567","16","10.1037/xge0001570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195545437&doi=10.1037%2fxge0001570&partnerID=40&md5=162229a18911b54f17689b962bc44663","People generally empathize with others and find harm aversive. Yet aggression, for example, between groups, abounds. How do people learn to overcome this aversion in order to aggress? Many models of learning emphasize outcome prediction errors—deviations from expected outcomes in the environment—but aggression may also be fueled by affective prediction errors (affective PEs)—deviations from how we expect to feel. Across five preregistered online experiments that hold outcome prediction errors constant (N = 4,607), participants choosing aggressive or nonaggressive actions aggressed more against disliked group members and often escalated or persisted in taking actions that felt better than expected (positive affective PE), especially when those actions were aggressive. Crucially, inducing incidental empathy toward the group of the target rendered affective PE signals sensitive to group identification—participants escalated aggression that felt better than expected relatively less toward liked versus disliked group members. That said, affective PEs did not always add explanatory power beyond levels of postoutcome affect alone; we discuss the importance and implications of these results. In summary, we reveal affective PE integration as a candidate algorithm facilitating exceptions to harm aversion in intergroup conflict. More broadly, we highlight for affective science and decision-making researchers the necessity of appropriately testing separable components of affective signals in predicting subsequent behavior. © 2024 American Psychological Association","Article","Scopus"
"Grzyb B.; Frank S.L.; Vigliocco G.","Grzyb, Beata (25649411600); Frank, Stefan L. (7202570349); Vigliocco, Gabriella (55919485500)","25649411600; 7202570349; 55919485500","Communicative Efficiency in Multimodal Language Directed at Children and Adults","2024","Journal of Experimental Psychology: General","153","7","","1904","1919","15","10.1037/xge0001588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197308823&doi=10.1037%2fxge0001588&partnerID=40&md5=22fb06083c65cf0f7cc956e26fc00fad","The ecology of human communication is face to face. In these contexts, speakers dynamically modify their communication across vocal (e.g., speaking rate) and gestural (e.g., cospeech gestures related in meaning to the content of speech) channels while speaking. What is the function of these adjustments? Here we ask whether speakers dynamically make these adjustments to increase communicative success, and decrease cognitive effort while speaking. We assess whether speakers modulate word durations and produce iconic (i.e., imagistically evoking properties of referents) gestures depending on the predictability of each word they utter. Predictability is operationalized as surprisal and computed from computational language models trained on corpora of child-directed, or adult-directed language. Using data from a novel corpus (Ecological Language Corpus) of naturalistic interactions between adult–child (aged 3–4), and adult– adult, we show that surprisal predicts speakers’ multimodal adjustments and that some of these effects are modulated by whether the comprehender is a child or an adult. Thus, communicative efficiency applies generally across vocal and gestural communicative channels not being limited to structural properties of language or vocal modality. © 2024 The Author(s)","Article","Scopus"
"Unsworth N.; Miller A.L.","Unsworth, Nash (8057936400); Miller, Ashley L. (57201680041)","8057936400; 57201680041","Individual Differences in the Dynamics of Attention Control","2024","Journal of Experimental Psychology: General","154","3","","829","851","22","10.1037/xge0001695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213514487&doi=10.1037%2fxge0001695&partnerID=40&md5=6348b96de232243552e3e5e25cd150f1","Individual differences in the dynamics of attention control were examined in two studies. Participants performed mouse tracker versions of Stroop (Studies 1 and 2) and flankers (Study 2), along with additional measures of attention control and working memory to better examine individual differences in how conflict resolution processes unfold over time. Attention control abilities were related to the amount of attraction to the incorrect response and the time to move toward the correct response on incongruent trials in the Stroop task. In the flanker task, attention control abilities were not related to the amount of attraction to the incorrect response but were related to the time to move toward the correct response on incongruent trials. Mouse tracker measures in both Stroop and flankers demonstrated acceptable psychometric properties and tended to load moderately on an attention control factor along with other attention control tasks. These results are consistent with the notion that conflict resolution processes in Stroop and flankers likely reflect both overlapping and distinct (i.e., restraining and constraining attention) processes that are related to broader attention control abilities. © 2024 American Psychological Association","Article","Scopus"
"Zhao S.; Xie J.; Zhai M.; Zhou Y.; Ma F.; Feng C.; Feng W.","Zhao, Song (57195411937); Xie, Jimei (58781836600); Zhai, Mengdie (57907088700); Zhou, Yuxin (58781620700); Ma, Fangfang (58781620800); Feng, Chengzhi (57195404409); Feng, Wenfeng (55420897400)","57195411937; 58781836600; 57907088700; 58781620700; 58781620800; 57195404409; 55420897400","Early Perceptual Locus of Suppression During the Attentional Blink","2024","Journal of Experimental Psychology: General","154","2","","457","475","18","10.1037/xge0001660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218223111&doi=10.1037%2fxge0001660&partnerID=40&md5=d321d1e4c2d6ac6fb7f93a2682050714","The attentional blink (AB) demonstrates that recognizing the second of two targets (T1 and T2) is difficult when they appear in close succession in a rapid serial visual presentation (RSVP) stream. The AB has been widely accepted as a suppression of T2 processing at the postperceptual stage. The current event-related potential study updates this view by demonstrating the existence of an early perceptual locus of suppression during the AB. Using line drawings of real-life objects as RSVP items, we required participants in Experiment 1 to either discriminate the exact identities or simply classify the object categories of T1 and T2, and in Experiment 2, we instructed participants to discriminate either T1 and T2 identities (dual-target task) or only T2 identity (single-target task) to invalidate the temporal expectation as an alternative account. The results of Experiments 1 and 2 showed that the T2-elicited first positive peak (P1) component was consistently decreased at Lag 3 whenever a dual-target, but not single-target, task was required, and the magnitude of this P1 suppression was significantly predictive of the behavioral AB magnitude in each dualtarget task. When the RSVP items were substituted by classic but size-matched alphanumeric characters in Experiment 3, no P1 suppression was evident as expected, ruling out the large stimulus size as an alternative interpretation. These findings provide the strongest evidence to date that the AB can begin to suppress T2 processing at a very early perceptual stage, at least when observers encounter RSVP items of real-life objects, which calls for more flexible cognitive models for the AB. © 2024 American Psychological Association","Article","Scopus"
"Samayoa J.A.G.; Albarracín D.","Samayoa, Javier A. Granados (57194029429); Albarracín, Dolores (7004215936)","57194029429; 7004215936","Bypassing Versus Correcting Misinformation: Efficacy and Fundamental Processes","2024","Journal of Experimental Psychology: General","154","1","","18","38","20","10.1037/xge0001687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211039565&doi=10.1037%2fxge0001687&partnerID=40&md5=37aa4820f65a1458ddc1e8af2ce218dd","The standard method for addressing the consequences of misinformation is the provision of a correction in which the misinformation is directly refuted. However, the impact of misinformation may also be successfully addressed by introducing or bolstering alternative beliefs with opposite evaluative implications. Six preregistered experiments clarified important processes influencing the impact of bypassing versus correcting misinformation via negation. First, we find that, following exposure to misinformation, bypassing generally changes people’s attitudes and intentions more than correction in the form of a simple negation. Second, this relative advantage is not a function of the depth at which information is processed but rather the degree to which people form attitudes or beliefs when they receive the misinformation. When people form attitudes when they first receive the misinformation, bypassing has no advantage over corrections, likely owing to anchoring. In contrast, when individuals focus on the accuracy of the statements and form beliefs, bypassing is significantly more successful at changing their attitudes because these attitudes are constructed based on expectancy-value principles, while misinformation continues to influence attitudes after correction. Broader implications of this work are discussed. © 2024 American Psychological Association","Article","Scopus"
"Hussein M.A.; Wheeler S.C.","Hussein, Mohamed A. (57222734283); Wheeler, S. Christian (7101899052)","57222734283; 7101899052","Reputational Costs of Receptiveness: When and Why Being Receptive to Opposing Political Views Backfires","2024","Journal of Experimental Psychology: General","153","6","","1425","1448","23","10.1037/xge0001579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195553576&doi=10.1037%2fxge0001579&partnerID=40&md5=1661c49e979a5e2ca20b44f128860cb3","A fast-growing body of research finds that receptiveness to opposing political views carries reputational benefits. A different body of research finds that opposing political views and the people who hold them are seen as repugnant. How could it be that people receptive to opposing political ideas are viewed positively when the political opponents they are receptive to are seen negatively? In seven main (N = 5,286) and nine supplemental studies (N = 3,983 participants in online studies; N = 124,493 observations in field data), we reconcile this tension by arguing that the identity of the person one is receptive to determines whether receptiveness carries reputational benefits or costs. When the information source belongs to the opposing party, receptiveness to opposing political views often carries reputational costs. We find these reputational costs across both strong and weak signals of receptiveness, eight different political and social issues, and multiple types of prototypical out-party sources. We argue that these costs arise because members of the opposing party are frequently stereotyped as immoral, and thus receptiveness to their ideas is seen negatively. As a boundary condition, we find that the costs of receptiveness are pronounced for sources who are prototypical of the out-party and attenuate (or even reverse) for sources who are nonprototypical. These findings resolve a seeming contradiction between two distinct literatures in psychology, contribute to a rapidly expanding literature on the interpersonal consequences of receptiveness, and lay the groundwork for understanding novel barriers to, and ultimately solutions for, the lack of cross-party openness and political polarization. © 2024 American Psychological Association","Article","Scopus"
"Lalot F.; Bertram A.-M.","Lalot, Fanny (56107063300); Bertram, Anna-Marie (57720355500)","56107063300; 57720355500","When the Bot Walks the Talk: Investigating the Foundations of Trust in an Artificial Intelligence (AI) Chatbot","2024","Journal of Experimental Psychology: General","154","2","","533","551","18","10.1037/xge0001696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212212360&doi=10.1037%2fxge0001696&partnerID=40&md5=eea7f589b7d12b3ff5a1b72657e1d997","The concept of trust in artificial intelligence (AI) has been gaining increasing relevance for understanding and shaping human interaction with AI systems. Despite a growing literature, there are disputes as to whether the processes of trust in AI are similar to that of interpersonal trust (i.e., in fellow humans). The aim of the present article is twofold. First, we provide a systematic test of an integrative model of trust inspired by interpersonal trust research encompassing trust, its antecedents (trustworthiness and trust propensity), and its consequences (intentions to use the AI and willingness to disclose personal information). Second, we investigate the role of AI personalization on trust and trustworthiness, considering both their mean levels and their dynamic relationships. In two pilot studies (N = 313) and one main study (N = 1,001) focusing on AI chatbots, we find that the integrative model of trust is suitable for the study of trust in virtual AI. Perceived trustworthiness of the AI, and more specifically its ability and integrity dimensions, is a significant antecedent of trust and so are anthropomorphism and propensity to trust smart technology. Trust, in turn, leads to greater intentions to use and willingness to disclose information to the AI. The personalized AI chatbot was perceived as more able and benevolent than the impersonal chatbot. It was also more anthropomorphized and led to greater usage intentions, but not to greater trust. Anthropomorphism, not trust, explained the greater intentions to use personalized AI. We discuss implications for research on trust in humans and in automation. © 2024 American Psychological Association","Article","Scopus"
