"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Document Type","Source"
"Sutu A.; Hoff K.A.; Chu C.; Einarsdóttir S.; Rounds J.; Damian R.I.","Sutu, Andreea (57203354683); Hoff, Kevin A. (56603867200); Chu, Chu (57220009114); Einarsdóttir, Sif (57489264800); Rounds, James (7006247677); Damian, Rodica Ioana (55058275300)","57203354683; 56603867200; 57220009114; 57489264800; 7006247677; 55058275300","Life Goal Development, Educational Attainment, and Occupational Outcomes: A 12-Year, Multisample Longitudinal Study","2024","Journal of Personality and Social Psychology","126","6","","1116","1139","23","10.1037/pspp0000499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190854310&doi=10.1037%2fpspp0000499&partnerID=40&md5=a56f3c75c6fe0dae36fef2283b08ae15","Life goals play a major role in shaping people’s lives and careers. Although life goals have prior documented associations with occupational and other life outcomes, no prior studies have investigated associations between life goal development and occupational outcomes. Using two representative samples of Icelandic youth (Sample 1: n = 485, Sample 2: n = 1,339), followed across 12 years from adolescence to young adulthood, we examined life goal development and associations with educational attainment and a wide range of occupational outcomes. We found that life goals had relatively high rank-order and profile stability across the 12 years. Most life goals decreased in importance during the transition from adolescence to young adulthood, except for family- and community-related goals, pointing to a continued focus on building social relationships in young adulthood. We also found meaningful variation in change at the item level within certain goal domains. Furthermore, adolescent levels of life goals, as well as changes in certain goals, predicted educational attainment and occupational outcomes in young adulthood. This suggests that life goals motivate career behaviors beginning at an early age and that subsequent changes in certain life goals also matter for educational and occupational outcomes. Dominance analyses revealed that education and prestige life goals were generally the strongest predictors of future outcomes. Overall, these results highlight the importance of life goal development in predicting later educational attainment and occupational outcomes. © 2024 American Psychological Association","Article","Scopus"
"Walsh R.M.; Forest A.L.","Walsh, Rebecca M. (57211375125); Forest, Amanda L. (36698765900)","57211375125; 36698765900","Expressing the Good in Bad Times: Examining Whether and Why Positive Expressivity in Negative Contexts Affects Romantic Partners’ Responsive Support Provision","2024","Journal of Personality and Social Psychology","127","3","","581","608","27","10.1037/pspi0000449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188502308&doi=10.1037%2fpspi0000449&partnerID=40&md5=752b774bf1002d2148e4c722b6df6293","Receiving high-quality, responsive support in times of distress is critical but difficult. In a theoretical review, we previously proposed a process model that explains why support-seekers’ positive expressivity can elicit—but may sometimes suppress—supportive responses from partners (providers) within distress-related contexts. In the current work, we aimed to test direct and indirect pathways linking seeker’s positive expressivity in negative disclosures to provider’s support while addressing notable gaps in the existing literature. Studies considered seeker-expressed positivity as broad, unitary construct (Studies 1, 2, and 4) and explored different types of positivity (Studies 1, 3, and 4): partner-oriented positivity (e.g., gratitude), stressor-oriented positivity (e.g., optimism), and unspecified positivity (e.g., pleasant demeanor). In behavioral observation studies of romantic couples (Studies 1 and 4), seeker-expressed positivity in negative disclosures positively predicted provider responsiveness, even when controlling for seeker-expressed negativity and other plausible third variables. Online experiments with manipulations of seeker-expressed positivity (Studies 2 and 3) yielded causal evidence of positivity’s direct support-eliciting effects. Considering positivity types, partner-oriented positivity and stressor-oriented positivity showed the most robust support-eliciting potential; unspecified positivity also appeared valuable in some contexts. Evidence for several of the model’s indirect pathways emerged in correlational (Study 4) and experimental (Studies 2 and 3) work, providing insights into support-eliciting and support-suppressing mechanisms through which positivity operates. These findings underscore support-seekers’ active role in obtaining support, highlight the value of positive expressivity for eliciting high-quality support, and lay the groundwork for further research on positive expressivity’s effects in support-seeking contexts. © 2024 American Psychological Association","Article","Scopus"
"Pan X.; Jiang T.; Yuan W.; Hao C.; Bai Y.; Keltner D.","Pan, Xinyu (57226176299); Jiang, Tonglin (57116963500); Yuan, Wenying (58646978700); Hao, Chenxiao (58647054500); Bai, Yang (57195037996); Keltner, Dacher (57214579516)","57226176299; 57116963500; 58646978700; 58647054500; 57195037996; 57214579516","A Balanced Mind: Awe Fosters Equanimity via Temporal Distancing","2024","Journal of Personality and Social Psychology","127","6","","1127","1145","18","10.1037/pspa0000410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213199420&doi=10.1037%2fpspa0000410&partnerID=40&md5=47c7bd0a321fd088bd89b44cf6cd4f6a","Awe has been shown to promote well-being through various mechanisms (see Monroy & Keltner, 2023). In this research, we propose a novel perspective for the well-being benefits of awe: Awe fosters equanimity—a balanced state of mind toward all experiences of any valence—and we document how this works, namely, through temporal distancing. Across seven studies, using a combination of experiments, big data analytics, and intervention methods, we provide support for our hypotheses. In Studies 1–3, induced awe increased equanimity, indexed by a self-report scale (Study 1), a decrease in emotional reactivity (Study 2), and an unbiased behavioral approach to positive and negative experiences (Study 3). In Studies 4–6, awe increased equanimity via temporal distancing. This effect persisted beyond self-diminishment (i.e., feeling small and insignificant) and proved to be cross-culturally robust (Study 4). An analysis of almost 200, 000 posts on social media (Study 5) revealed that the proposed mediation model manifested in ecologically rich contexts. Study 6 provided causal evidence for the mediation model. Finally, in a 5-day awe intervention (Study 7), awe increased psychological and physical well-being, with equanimity accounting for these benefits. Taken together, these findings reveal that awe cultivates a balanced state of mind by shifting one’s temporal perspective on life events. © 2024 American Psychological Association","Article","Scopus"
"Zhang L.; Wetzel E.; Yoon H.J.; Roberts B.W.","Zhang, Luyao (59166206400); Wetzel, Eunike (54796203400); Yoon, Hee J. (57225949182); Roberts, Brent W. (7402979014)","59166206400; 54796203400; 57225949182; 7402979014","Perseverance, a Measure of Conscientiousness, Is a Valid Predictor of Achievement and Truancy Across the Globe","2024","Journal of Personality and Social Psychology","126","5","","852","872","20","10.1037/pspp0000505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195542052&doi=10.1037%2fpspp0000505&partnerID=40&md5=77c7b63992e293cc17c01277184e2e8f","Is Conscientiousness a useful construct across cultures? Using the 2012 Program for International Student Assessment data, we examined whether perseverance, a measure of Conscientiousness, was related to achievement and truancy across 62 countries/regions (N?> 470,000). We investigated whether these relationships were linear or curvilinear in nature and assessed the utility of item-level information. After establishing partial metric invariance of the perseverance measure across various countries/regions and cultural regions, our findings unveiled that perseverance consistently predicted both math achievement and truancy, with predominantly linear associations. Notably, among the five items of the Perseverance scale, the item reflecting one’s tendency to give up easily in the face of challenges emerged as the strongest and most consistent predictor of math achievement. Further, country-level correlations between perseverance and both math achievement and truancy displayed contradictory patterns compared to individual-level correlations, suggesting the presence of biasing factors in how people respond to these measures. Nonetheless, it appears reasonable to conclude that measures of Conscientiousness are pan-cultural predictors of achievement and truancy. © 2024 American Psychological Association","Article","Scopus"
"Leal A.; van Zomeren M.; González R.; Gordijn E.; Carozzi P.; Reifen-Tagar M.; Álvarez B.; Frigolett C.; Halperin E.","Leal, Ana (57222550893); van Zomeren, Martijn (22981996600); González, Roberto (36339388700); Gordijn, Ernestine (6603246249); Carozzi, Pia (58197524300); Reifen-Tagar, Michal (36572426400); Álvarez, Belén (57211550398); Frigolett, Cristián (57218561882); Halperin, Eran (35866830500)","57222550893; 22981996600; 36339388700; 6603246249; 58197524300; 36572426400; 57211550398; 57218561882; 35866830500","Attitude Moralization in the Context of Collective Action: How Participation in Collective Action May Foster Moralization Over Time","2024","Journal of Personality and Social Psychology","","","","","","","10.1037/pspi0000486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213271546&doi=10.1037%2fpspi0000486&partnerID=40&md5=d1f6ffea79d1e279fd7ac86520ba4729","Although much is known about why people engage in collective action participation (e.g., politicized identity, group-based anger), little is known about the psychological consequences of such participation. For example, can participation in collective action facilitate attitude moralization (e.g., moralize their attitudes on the topic)? Based on the idea that collective action contexts often involve a strong social movement fighting against an immoral adversary, we propose that participating in collective action facilitates attitude moralization over time. By integrating the moralization and collective action literatures, we hypothesized that participation in collective action moralizes individuals’ attitudes over time because it politicizes their identity, enrages them vis-a-vis the outgroup, and/or empowers them to achieve social change. We tested these hypotheses in a 2-year, five-wave longitudinal study (N = 1,214) in the contentious context of the Chilean student movement. We examined within-person (and between-person) changes over time and consistently found that participation in collective action predicted individual changes in moral conviction over time through politicized identification and group-based anger toward the outgroup. Furthermore, moral conviction predicted participation in collective action over time—an effect consistently explained by politicized identification. These findings are the first to show that (a) participation in collective action moralizes individuals’ attitudes because it politicizes their identity and enrages them vis-a-vis the (immoral) outgroup and that (b) moralization in turn helps to better understand sustained movement participation. Theoretical implications for the literature on moralization and collective action are discussed. © 2024 American Psychological Association","Article","Scopus"
"Roos Y.; Krämer M.D.; Richter D.; Wrzus C.","Roos, Yannick (57211282669); Krämer, Michael D. (57208213476); Richter, David (55555107600); Wrzus, Cornelia (37082400100)","57211282669; 57208213476; 55555107600; 37082400100","Persons in Contexts: The Role of Social Networks and Social Density for the Dynamic Regulation of Face-to-Face Interactions in Daily Life","2024","Journal of Personality and Social Psychology","127","4","","920","935","15","10.1037/pspp0000512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197455383&doi=10.1037%2fpspp0000512&partnerID=40&md5=e0f2b50e683cc697a6df5d48d7903ef7","Current psychological theories on daily social interactions emphasize individual differences yet are underspecified regarding contextual factors. We aim to extend this research by examining how two context factors shape social interactions in daily life: how many relationships people maintain and how densely people live together. In Study 1, 307 German participants (Mage = 39.44 years, SDage = 14.14) answered up to 20 experience sampling questionnaires regarding their social interactions over 2 days. In Study 2, 313 German participants (Mage = 48.96 years, SDage = 15.54) summarized their daily interactions in daily diaries for 14 days. Participants reported on their social network size and the social density (i.e., household and neighborhood density) of their living situations. Mobile sensing provided additional measures of social interactions and network size. The results showed that participants living in densely populated households transitioned faster from solitude to social interactions but slower from social interactions to solitude. Participants living in dwellings with more homes also transitioned slower from solitude to social interactions. Contrary to the hypothesis, social network size was inconsistently linked with transitions from solitude to social interactions and vice versa. Furthermore, current social desires predicted subsequent social interactions within days, but not across days—irrespective of individuals’ social network size or social density. Together the results point out that people live their daily life in social contexts, which contribute to how they engage in social interactions. The findings thus call for a greater integration of contextual factors in personality theories of social interactions. © (2024), (American Psychological Association). All rights reserved.","Article","Scopus"
"White C.J.M.; Johnson K.A.; Mirbozorgi B.; Martelli G.F.","White, Cindel J. M. (57193573339); Johnson, Kathryn A. (55476475600); Mirbozorgi, Behnam (58523650600); Martelli, Graziela Farias (59362063400)","57193573339; 55476475600; 58523650600; 59362063400","Varieties of Gratitude: Identifying Patterns of Emotional Responses to Positive Experiences Attributed to God, Karma, and Human Benefactors","2024","Journal of Personality and Social Psychology","127","3","","497","517","20","10.1037/pspa0000398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197219158&doi=10.1037%2fpspa0000398&partnerID=40&md5=d00b2893c585dbc1c9472162746658c1","Good fortune can be attributed to many sources, including other people, personal efforts, and various theistic and nontheistic supernatural forces (e.g., God, karma). Four studies (total N = 4,579) of religiously diverse samples from the United States and the United Kingdom investigated the distinct emotional reactions to recalled positive experiences attributed to natural and supernatural benefactors. We found that the hallmarks of interpersonal gratitude (e.g., thankfulness, admiration, indebtedness) were reported when believers attributed their good fortune to a personal, benevolent God. However, a distinct emotional profile arose when participants attributed good fortune to the process of karmic payback, which was associated with relatively less gratitude but with higher scores for feelings of pride and deservingness. These results were partially explained by participants’ attributions of positive experiences to an external agent (e.g., God) versus a universal law or internal factors as in the case of karma. We conclude that diverse spiritual beliefs influence causal attributions for good fortune, which, in turn, predict distinct emotional responses. © 2024 American Psychological Association","Article","Scopus"
"","","","Retraction of Tian et al. (2018)","2024","Journal of personality and social psychology","126","2","","281","","","10.1037/pspa0000374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187460968&doi=10.1037%2fpspa0000374&partnerID=40&md5=05ce61c193e226b8bd1f636d0be72671","Reports the retraction of ""Enacting rituals to improve self-control"" by Allen Ding Tian, Juliana Schroeder, Gerald Häubl, Jane L. Risen, Michael I. Norton and Francesca Gino (Journal of Personality and Social Psychology, 2018[Jun], Vol 114[6], 851-876). This retraction follows from a 2023 review of the data reported in the article, which was conducted and reported to the journal by the authors. The authors, who agreed to the retraction, requested a correction after identifying discrepancies between the data analyzed for Study 1 and the data downloaded from Qualtrics. Fifteen participants' condition codes (i.e., control versus experimental) differed between the data reported originally and what participants in the Qualtrics dataset reported doing (e.g., control participants who reported engaging in a ritual). The remaining 69 participants did not present these discrepancies. The authors' reanalysis based on what participants reported doing invalidated the previous conclusion that enacting a ritual improved self-control as measured by food diaries. Specifically, the effect of what participants did on reported calorie consumption was not statistically significant (ritual participants M = 1,563.31, SD = 313.15; control participants M = 1,521.74, SD = 367.79, t[83] = 0.56, p = .576). The authors did not identify any discrepancies in the datafiles for Studies 2-16. The Study 1 participants were recruited at the University of Chicago gym under the supervision of Drs. Juliana Schroeder and Jane Risen. The statistical analyses reported in the article were conducted by Dr. Juliana Schroeder. A dataset containing the data with the original condition codes and the newly analyzed participants' reports in the Qualtrics data appears at https://osf.io/3fk2c. (The following abstract of the original article appeared in record 2018-22169-001.) Rituals are predefined sequences of actions characterized by rigidity and repetition. We propose that enacting ritualized actions can enhance subjective feelings of self-discipline, such that rituals can be harnessed to improve behavioral self-control. We test this hypothesis in 6 experiments. A field experiment showed that engaging in a pre-eating ritual over a 5-day period helped participants reduce calorie intake (Experiment 1). Pairing a ritual with healthy eating behavior increased the likelihood of choosing healthy food in a subsequent decision (Experiment 2), and enacting a ritual before a food choice (i.e., without being integrated into the consumption process) promoted the choice of healthy food over unhealthy food (Experiments 3a and 3b). The positive effect of rituals on self-control held even when a set of ritualized gestures were not explicitly labeled as a ritual, and in other domains of behavioral self-control (i.e., prosocial decision-making; Experiments 4 and 5). Furthermore, Experiments 3a, 3b, 4, and 5 provided evidence for the psychological process underlying the effectiveness of rituals: heightened feelings of self-discipline. Finally, Experiment 5 showed that the absence of a self-control conflict eliminated the effect of rituals on behavior, demonstrating that rituals affect behavioral self-control specifically because they alter responses to self-control conflicts. We conclude by briefly describing the results of a number of additional experiments examining rituals in other self-control domains. Our body of evidence suggests that rituals can have beneficial consequences for self-control. (PsycInfo Database Record (c) 2024 APA, all rights reserved).","Article","Scopus"
"Eskreis-Winkler L.; Peres L.T.T.; Fishbach A.","Eskreis-Winkler, Lauren (56037177600); Peres, Luiza Tanoue Troncoso (59396864500); Fishbach, Ayelet (6603551816)","56037177600; 59396864500; 6603551816","The Bigger the Problem the Littler: When the Scope of a Problem Makes It Seem Less Dangerous","2024","Journal of Personality and Social Psychology","","","","","","","10.1037/pspa0000409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208251833&doi=10.1037%2fpspa0000409&partnerID=40&md5=ca487791adaebe67065edd405596132a","Across 15 studies (N = 2,636), people who considered the prevalence of a problem (e.g., 4.2 million people drive drunk each month) inferred it caused less harm, a phenomenon we dub the big problem paradox. People believed dire problems—ranging from poverty to drunk driving—were less problematic upon learning the number of people they affect (Studies 1–2). Prevalence information caused medical experts to infer medication nonadherence was less dangerous, just as it led women to underestimate their true risk of contracting cancer. The big problem paradox results from an optimistic view of the world. When people believe the world is good, they assume widespread problems have been addressed and, thus, cause less harm (Studies 3–4). The big problem paradox has key implications for motivation and helping behavior (Studies 5–6). Learning the prevalence of medical conditions (i.e., chest pain, suicidal ideation) led people to think a symptomatic individual was less sick and, as a result, to help less—in violation of clinical guidelines. The finding that scale warps judgments and de-motivates action is of particular relevance in the globalized 21st century. © 2024 The Author(s)","Article","Scopus"
"Brady G.L.; Kakkar H.; Sivanathan N.","Brady, Garrett L. (57193539211); Kakkar, Hemant (57189686825); Sivanathan, Niro (24597863300)","57193539211; 57189686825; 24597863300","Perilous and unaccountable: The positive relationship between dominance and moral hazard behaviors.","2024","Journal of Personality and Social Psychology","127","2","","363","383","20","10.1037/pspi0000448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188546758&doi=10.1037%2fpspi0000448&partnerID=40&md5=b3a2052fd9b92e6c420b48e36b9050cc","Moral hazard involves a context where decision-makers engage in behaviors that prioritize self-interest while allowing the associated risk to be primarily borne by others. Such decision making can lead to catastrophic consequences, as seen in the 2008 global financial crisis after hedge fund managers indiscriminately invested their clients’ money in subprime mortgages. This research examines which decision-makers are most likely to engage in moral hazard decision making and the psychological mechanism driving this behavior. Drawing on the dual model of social influence, we posit that individuals associated with dominance, but not prestige, will engage in greater moral hazard behaviors. We further contend that these behaviors are driven by dominant decision-makers’ enhanced focus on end goals (outcomes) rather than the means (process) that they use to pursue such goals. We find support for our hypotheses across 13 studies (NObservations = 26,880; of which eight were preregistered and six studies are reported in the Supplemental Materials), using both correlational and experimental designs. Additionally, we vary the moral hazard context (e.g., a financial setting, a health and safety issue, etc.) and capture both behavioral intentions and actual behaviors, while also ruling out several alternative explanations. These findings demonstrate that dominant decision-makers engage in moral hazard behaviors because of their tendency to prioritize outcomes over processes. (PsycInfo Database Record (c) 2024 APA, all rights reserved) © 2024 American Psychological Association","Article","Scopus"
