"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Document Type","Source"
"Yang C.; Biswal B.; Cui Q.; Jing X.; Ao Y.; Wang Y.","Yang, Chengxiao (57222727249); Biswal, Bharat (7005313518); Cui, Qian (55585758000); Jing, Xiujuan (56662705900); Ao, Yujia (57219269378); Wang, Yifeng (55317673100)","57222727249; 7005313518; 55585758000; 56662705900; 57219269378; 55317673100","Frequency-dependent alterations of global signal topography in patients with major depressive disorder","2024","Psychological Medicine","54","9","","2152","2161","9","10.1017/S0033291724000254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185448543&doi=10.1017%2fS0033291724000254&partnerID=40&md5=7b45056054c69a5607d3e0c3b0b0d816","Background Major depressive disorder (MDD) is associated not only with disorders in multiple brain networks but also with frequency-specific brain activities. The abnormality of spatiotemporal networks in patients with MDD remains largely unclear. Methods We investigated the alterations of the global spatiotemporal network in MDD patients using a large-sample multicenter resting-state functional magnetic resonance imaging dataset. The spatiotemporal characteristics were measured by the variability of global signal (GS) and its correlation with local signals (GSCORR) at multiple frequency bands. The association between these indicators and clinical scores was further assessed. Results The GS fluctuations were reduced in patients with MDD across the full frequency range (0-0.1852 Hz). The GSCORR was also reduced in the MDD group, especially in the relatively higher frequency range (0.0728-0.1852 Hz). Interestingly, these indicators showed positive correlations with depressive scores in the MDD group and relative negative correlations in the control group. Conclusion The GS and its spatiotemporal effects on local signals were weakened in patients with MDD, which may impair inter-regional synchronization and related functions. Patients with severe depression may use the compensatory mechanism to make up for the functional impairments.  © The Author(s), 2024.","Article","Scopus"
"D'Andrea G.; Quattrone D.; Malone K.; Tripoli G.; Trotta G.; Spinazzola E.; Gayer-Anderson C.; Jongsma H.E.; Sideli L.; Stilo S.A.; La Cascia C.; Ferraro L.; Lasalvia A.; Tosato S.; Tortelli A.; Velthorst E.; De Haan L.; Llorca P.-M.; Rossi Menezes P.; Santos J.L.; Arrojo M.; Bobes J.; Sanjuán J.; Bernardo M.; Arango C.; Kirkbride J.B.; Jones P.B.; Rutten B.P.; Van Os J.; Selten J.-P.; Vassos E.; Schürhoff F.; Szöke A.; Pignon B.; O'donovan M.; Richards A.; Morgan C.; Di Forti M.; Tarricone I.; Murray R.M.","D'Andrea, Giuseppe (58285012900); Quattrone, Diego (8900019500); Malone, Kathryn (59150068800); Tripoli, Giada (57197844215); Trotta, Giulia (57188697976); Spinazzola, Edoardo (57194782850); Gayer-Anderson, Charlotte (57202601716); Jongsma, Hannah E (57200244360); Sideli, Lucia (35218187300); Stilo, Simona A (35763823400); La Cascia, Caterina (6601925392); Ferraro, Laura (57197842255); Lasalvia, Antonio (57197687797); Tosato, Sarah (8672074400); Tortelli, Andrea (6507197913); Velthorst, Eva (57193569808); De Haan, Lieuwe (7005592387); Llorca, Pierre-Michel (7003468273); Rossi Menezes, Paulo (57221963296); Santos, Jose Luis (56599622200); Arrojo, Manuel (55910807500); Bobes, Julio (7005688230); Sanjuán, Julio (56416073600); Bernardo, Miguel (7103259062); Arango, Celso (6508338058); Kirkbride, James B (57218240440); Jones, Peter B (58892452600); Rutten, Bart P (57194506388); Van Os, Jim (57194115841); Selten, Jean-Paul (7004379701); Vassos, Evangelos (55961024500); Schürhoff, Franck (57207726175); Szöke, Andrei (7007174299); Pignon, Baptiste (56289107700); O'donovan, Michael (7103147367); Richards, Alexander (57214750824); Morgan, Craig (55608671400); Di Forti, Marta (57226220545); Tarricone, Ilaria (12762952600); Murray, Robin M (57870425000)","58285012900; 8900019500; 59150068800; 57197844215; 57188697976; 57194782850; 57202601716; 57200244360; 35218187300; 35763823400; 6601925392; 57197842255; 57197687797; 8672074400; 6507197913; 57193569808; 7005592387; 7003468273; 57221963296; 56599622200; 55910807500; 7005688230; 56416073600; 7103259062; 6508338058; 57218240440; 58892452600; 57194506388; 57194115841; 7004379701; 55961024500; 57207726175; 7007174299; 56289107700; 7103147367; 57214750824; 55608671400; 57226220545; 12762952600; 57870425000","Variation of subclinical psychosis across 16 sites in Europe and Brazil: findings from the multi-national EU-GEI study","2024","Psychological Medicine","54","8","","1810","1823","13","10.1017/S0033291723003781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194592177&doi=10.1017%2fS0033291723003781&partnerID=40&md5=4f5530e82f24f22a382e0e479de4b371","Background Incidence of first-episode psychosis (FEP) varies substantially across geographic regions. Phenotypes of subclinical psychosis (SP), such as psychotic-like experiences (PLEs) and schizotypy, present several similarities with psychosis. We aimed to examine whether SP measures varied across different sites and whether this variation was comparable with FEP incidence within the same areas. We further examined contribution of environmental and genetic factors to SP. Methods We used data from 1497 controls recruited in 16 different sites across 6 countries. Factor scores for several psychopathological dimensions of schizotypy and PLEs were obtained using multidimensional item response theory models. Variation of these scores was assessed using multi-level regression analysis to estimate individual and between-sites variance adjusting for age, sex, education, migrant, employment and relational status, childhood adversity, and cannabis use. In the final model we added local FEP incidence as a second-level variable. Association with genetic liability was examined separately. Results Schizotypy showed a large between-sites variation with up to 15% of variance attributable to site-level characteristics. Adding local FEP incidence to the model considerably reduced the between-sites unexplained schizotypy variance. PLEs did not show as much variation. Overall, SP was associated with younger age, migrant, unmarried, unemployed and less educated individuals, cannabis use, and childhood adversity. Both phenotypes were associated with genetic liability to schizophrenia. Conclusions Schizotypy showed substantial between-sites variation, being more represented in areas where FEP incidence is higher. This supports the hypothesis that shared contextual factors shape the between-sites variation of psychosis across the spectrum. Copyright 2024 © The Author(s). Published by Cambridge University Press.","Article","Scopus"
"Reinwarth A.C.; Beutel M.E.; Schmidt P.; Wild P.S.; Münzel T.; König J.; Konstantinides S.V.; Schattenberg J.M.; Lackner K.J.; Schuster A.K.; Tüscher O.; Geschke K.","Reinwarth, Anna C. (57564700700); Beutel, Manfred E. (7005494922); Schmidt, Peter (55438467100); Wild, Philipp S. (57204170728); Münzel, Thomas (56973651700); König, Jochem (7102062562); Konstantinides, Stavros V. (7003963321); Schattenberg, Jörn M. (57221503136); Lackner, Karl J. (7102744849); Schuster, Alexander K. (7102981323); Tüscher, Oliver (26021569800); Geschke, Katharina (55390263800)","57564700700; 7005494922; 55438467100; 57204170728; 56973651700; 7102062562; 7003963321; 57221503136; 7102744849; 7102981323; 26021569800; 55390263800","Loneliness and social anxiety in the general population over time - Results of a cross-lagged panel analysis","2024","Psychological Medicine","54","16","","4551","4560","9","10.1017/S0033291724001818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214138759&doi=10.1017%2fS0033291724001818&partnerID=40&md5=55d4d9b58675366a8c0e3ae8e10be274","Background Loneliness has become a major public health issue of the recent decades due to its severe impact on health and mortality. Little is known about the relation between loneliness and social anxiety. This study aimed (1) to explore levels of loneliness and social anxiety in the general population, and (2) to assess whether and how loneliness affects symptoms of social anxiety and vice versa over a period of five years. Methods The study combined data from the baseline assessment and the five-year follow-up of the population-based Gutenberg Health Study. Data of N = 15 010 participants at baseline (Mage = 55.01, s.d.age = 11.10) were analyzed. Multiple regression analyses with loneliness and symptoms of social anxiety at follow-up including sociodemographic, physical illnesses, and mental health indicators at baseline were used to test relevant covariates. Effects of loneliness on symptoms of social anxiety over five years and vice versa were analyzed by autoregressive cross-lagged structural equation models. Results At baseline, 1076 participants (7.41%) showed symptoms of social anxiety and 1537 (10.48%) participants reported feelings of loneliness. Controlling for relevant covariates, symptoms of social anxiety had a small significant effect on loneliness five years later (standardized estimate of 0.164, p < 0.001). Vice versa, there was no significant effect of loneliness on symptoms of social anxiety taking relevant covariates into account. Conclusions Findings provided evidence that symptoms of social anxiety are predictive for loneliness. Thus, prevention and intervention efforts for loneliness need to address symptoms of social anxiety.  Copyright © The Author(s), 2024. Published by Cambridge University Press.","Article","Scopus"
"Simonsen C.; Åsbo G.; Slade M.; Wold K.F.; Widing L.; Flaaten C.B.; Engen M.J.; Lyngstad S.H.; Gardsjord E.; Bjella T.; Romm K.L.; Ueland T.; Melle I.","Simonsen, Carmen (16687093000); Åsbo, Gina (57220067016); Slade, Mike (7101725583); Wold, Kristin Fjelnseth (57220073230); Widing, Line (17344286300); Flaaten, Camilla Bärthel (57220072807); Engen, Magnus Johan (55934587100); Lyngstad, Siv Hege (57196456940); Gardsjord, Erlend (56960435400); Bjella, Thomas (36008117900); Romm, Kristin Lie (35325030100); Ueland, Torill (56232881300); Melle, Ingrid (6603091220)","16687093000; 57220067016; 7101725583; 57220073230; 17344286300; 57220072807; 55934587100; 57196456940; 56960435400; 36008117900; 35325030100; 56232881300; 6603091220","A good life with psychosis: Rate of positive outcomes in first-episode psychosis at 10-year follow-up","2024","Psychological Medicine","54","9","","2112","2121","9","10.1017/S0033291724000205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186075264&doi=10.1017%2fS0033291724000205&partnerID=40&md5=b821864302740a60df1b2276c5bf8220","Background More knowledge about positive outcomes for people with first-episode psychosis (FEP) is needed. An FEP 10-year follow-up study investigated the rate of personal recovery, emotional wellbeing, and clinical recovery in the total sample and between psychotic bipolar spectrum disorders (BD) and schizophrenia spectrum disorders (SZ); and how these positive outcomes overlap. Methods FEP participants (n = 128) were re-Assessed with structured clinical interviews at 10-year follow-up. Personal recovery was self-rated with the Questionnaire about the Process of Recovery-15-item scale (total score 45). Emotional wellbeing was self-rated with the Life Satisfaction Scale (score 5) and the Temporal Experience of Pleasure Scale (total score 72). Clinical recovery was clinician-rated symptom-remission and adequate functioning (duration minimum 1 year). Results In FEP, rates of personal recovery (50.8%), life satisfaction (60.9%), and pleasure (57.5%) were higher than clinical recovery (33.6%). Despite lower rates of clinical recovery in SZ compared to BD, they had equal rates of personal recovery and emotional wellbeing. Personal recovery overlapped more with emotional wellbeing than with clinical recovery (χ2). Each participant was assigned to one of eight possible outcome groups depending on the combination of positive outcomes fulfilled. The eight groups collapsed into three equal-sized main outcome groups: 33.6% clinical recovery with personal recovery and/or emotional wellbeing; 34.4% personal recovery and/or emotional wellbeing only; and 32.0% none. Conclusions In FEP, 68% had minimum one positive outcome after 10 years, suggesting a good life with psychosis. This knowledge must be shared to instill hope and underlines that subjective and objective positive outcomes must be assessed and targeted in treatment.  © The Author(s), 2024.","Article","Scopus"
"Halladay J.; Sunderland M.; Newton N.C.; Lynch S.J.; Chapman C.; Stapinski L.; Andrews J.L.; Birrell L.; Teesson M.; Slade T.","Halladay, J. (57202357903); Sunderland, M. (56363553500); Newton, N.C. (7005164365); Lynch, S.J. (57217019728); Chapman, C. (58954932700); Stapinski, L. (11940573500); Andrews, J.L. (57213386630); Birrell, L. (56079474300); Teesson, M. (7004157315); Slade, T. (6701447547)","57202357903; 56363553500; 7005164365; 57217019728; 58954932700; 11940573500; 57213386630; 56079474300; 7004157315; 6701447547","Do school-based prevention programs impact co-occurring alcohol use and psychological distress during adolescence?","2024","Psychological Medicine","54","16","","4725","4735","10","10.1017/S0033291724002897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213051592&doi=10.1017%2fS0033291724002897&partnerID=40&md5=bfe41faee8c14eca37206d33918f2b24","Background Adolescence is a critical period for preventing substance use and mental health concerns, often targeted through separate school-based programs. However, co-occurrence is common and is related to worse outcomes. This study explores prevention effects of leading school-based prevention programs on co-occurring alcohol use and psychological distress. Methods Data from two Australian cluster randomized trials involving 8576 students in 97 schools were harmonized for analysis. Students received either health education (control) or one of five prevention programs (e.g. Climate Schools, PreVenture) with assessments at baseline and 6, 12, 24, and 30 or 36 months (from ages ~13-16). Multilevel multinomial regressions were used to predict the relative risk ratios (RRs) of students reporting co-occurring early alcohol use and psychological distress, alcohol use only, distress only, or neither (reference) across programs. Results The combined Climate Schools: Alcohol and Cannabis and Climate Schools: Mental Health courses (CSC) as well as the PreVenture program reduced the risk of adolescents reporting co-occurring alcohol use and psychological distress (36 months RRCSC = 0.37; RRPreVenture = 0.22). Other evaluated programs (excluding Climate Schools: Mental Health) only appeared effective for reducing the risk of alcohol use that occurred without distress. Conclusions Evidence-based programs exist that reduce the risk of early alcohol use with and without co-occurring psychological distress, though preventing psychological distress alone requires further exploration. Prevention programs appear to have different effects depending on whether alcohol use and distress present on their own or together, thus suggesting the need for tailored prevention strategies.  © The Author(s), 2024.","Article","Scopus"
"Keeler J.L.; Bahnsen K.; Wronski M.-L.; Bernardoni F.; Tam F.; Arold D.; King J.A.; Kolb T.; Poitz D.M.; Roessner V.; Treasure J.; Himmerich H.; Ehrlich S.","Keeler, Johanna Louise (57220024342); Bahnsen, Klaas (57215718066); Wronski, Marie-Louis (57219466105); Bernardoni, Fabio (57132778600); Tam, Friederike (56825442100); Arold, Dominic (57200721942); King, Joseph A. (55912380000); Kolb, Theresa (58791146300); Poitz, David M. (33467936600); Roessner, Veit (57201040114); Treasure, Janet (7006097367); Himmerich, Hubertus (6602487612); Ehrlich, Stefan (58083715000)","57220024342; 57215718066; 57219466105; 57132778600; 56825442100; 57200721942; 55912380000; 58791146300; 33467936600; 57201040114; 7006097367; 6602487612; 58083715000","Longitudinal changes in brain-derived neurotrophic factor (BDNF) but not cytokines contribute to hippocampal recovery in anorexia nervosa above increases in body mass index","2024","Psychological Medicine","54","9","","2242","2253","11","10.1017/S0033291724000394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187116424&doi=10.1017%2fS0033291724000394&partnerID=40&md5=45ffd0207c32b9d7f2dee5ece07fb115","Background Physical sequelae of anorexia nervosa (AN) include a marked reduction in whole brain volume and subcortical structures such as the hippocampus. Previous research has indicated aberrant levels of inflammatory markers and growth factors in AN, which in other populations have been shown to influence hippocampal integrity. Methods Here we investigated the influence of concentrations of two pro-inflammatory cytokines (tumor necrosis factor-alpha [TNF-α] and interleukin-6 [IL-6]) and brain-derived neurotrophic factor (BDNF) on the whole hippocampal volume, as well as the volumes of three regions (the hippocampal body, head, and tail) and 18 subfields bilaterally. Investigations occurred both cross-sectionally between acutely underweight adolescent/young adult females with AN (acAN; n = 82) and people recovered from AN (recAN; n = 20), each independently pairwise age-matched with healthy controls (HC), and longitudinally in acAN after partial renourishment (n = 58). Hippocampal subfield volumes were quantified using FreeSurfer. Concentrations of molecular factors were analyzed in linear models with hippocampal (subfield) volumes as the dependent variable. Results Cross-sectionally, there was no evidence for an association between IL-6, TNF-α, or BDNF and between-group differences in hippocampal subfield volumes. Longitudinally, increasing concentrations of BDNF were positively associated with longitudinal increases in bilateral global hippocampal volumes after controlling for age, age2, estimated total intracranial volume, and increases in body mass index (BMI). Conclusions These findings suggest that increases in BDNF may contribute to global hippocampal recovery over and above increases in BMI during renourishment. Investigations into treatments targeted toward increasing BDNF in AN may be warranted.  Copyright © The Author(s), 2024. Published by Cambridge University Press.","Article","Scopus"
"Villano W.J.; Heller A.S.","Villano, William J (57204159614); Heller, Aaron S (11142009100)","57204159614; 11142009100","Depression is associated with blunted affective responses to naturalistic reward prediction errors","2024","Psychological Medicine","54","9","","1956","1964","8","10.1017/S0033291724000047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183938997&doi=10.1017%2fS0033291724000047&partnerID=40&md5=2d6b754afcd789fc13aecb0e7875b903","Background Depression is characterized by abnormalities in emotional processing, but the specific drivers of such emotional abnormalities are unknown. Computational work indicates that both surprising outcomes (prediction errors; PEs) and outcomes (values) themselves drive emotional responses, but neither has been consistently linked to affective disturbances in depression. As a result, the computational mechanisms driving emotional abnormalities in depression remain unknown. Methods Here, in 687 individuals, one-third of whom qualify as depressed via a standard self-report measure (the PHQ-9), we use high-stakes, naturalistic events - the reveal of midterm exam grades - to test whether individuals with heightened depression display a specific reduction in emotional response to positive PEs. Results Using Bayesian mixed effects models, we find that individuals with heightened depression do not affectively benefit from surprising, good outcomes - that is, they display reduced affective responses to positive PEs. These results were highly specific: effects were not observed to negative PEs, value signals (grades), and were not related to generalized anxiety. This suggests that the computational drivers of abnormalities in emotion in depression may be specifically due to positive PE-based emotional responding. Conclusions Affective abnormalities are core depression symptoms, but the computational mechanisms underlying such differences are unknown. This work suggests that blunted affective reactions to positive PEs are likely mechanistic drivers of emotional dysregulation in depression. © The Author(s), 2024. Published by Cambridge University Press.","Article","Scopus"
"See C.R.Z.; Si S.; Hedges E.; Tognin S.; Modinos G.; Van Der Gaag M.; De Haan L.; Velthorst E.; McGorry P.; Nelson B.; Riecher-Rössler A.; Bressan R.; Barrantes-Vidal N.; Krebs M.-O.; Nordentoft M.; Ruhrmann S.; Sachs G.; Rutten B.P.; Van Os J.; McGuire P.; Valmaggia L.R.; Kempton M.J.; Pisani S.; Antoniades M.; Calem M.; Van Der Gaag M.; Kraan T.C.; Van Dam D.S.; Burger N.; Amminger G.P.; Pantelis C.; Politis A.; Goodall J.; Borgwardt S.; Studerus E.; Gadelha A.; Brietzke E.; Asevedo G.; Asevedo E.; Zugman A.; Domínguez-Martínez T.; Racioppi A.; Kwapil T.R.; Monsonet M.; Hinojosa L.; Kazes M.; Daban C.; Bourgin J.; Gay O.; Mam-Lam-Fook C.; Nordholm D.; Randers L.; Krakauer K.; Glenthøj L.; Glenthøj B.; Gebhard D.; Arnhold J.; Klosterkötter J.; Lasser I.; Winklbaur B.; Delespaul P.A.","See, Cheryl R. Z. (57477857800); Si, Shuqing (57367673300); Hedges, Emily (57205209290); Tognin, Stefania (26658653900); Modinos, Gemma (26533083500); Van Der Gaag, Mark (7007141387); De Haan, Lieuwe (7005592387); Velthorst, Eva (57193569808); McGorry, Patrick (58540179700); Nelson, Barnaby (14071680700); Riecher-Rössler, Anita (57226214736); Bressan, Rodrigo (57217026032); Barrantes-Vidal, Neus (6507516897); Krebs, Marie-Odile (55342465700); Nordentoft, Merete (7006191523); Ruhrmann, Stephan (6701546897); Sachs, Gabriele (7202202756); Rutten, Bart P. (57194506388); Van Os, Jim (57194115841); McGuire, Philip (58959533400); Valmaggia, Lucia R. (23006795600); Kempton, Matthew J. (23111078000); Pisani, Sara (57220155903); Antoniades, Mathilde (57191439904); Calem, Maria (57189022261); Van Der Gaag, Mark (57211064266); Kraan, Tamar C. (56208698700); Van Dam, Daniella S. (55447940700); Burger, Nadine (56208538800); Amminger, G. Paul (57221640946); Pantelis, Christos (58486837100); Politis, Athena (57201501980); Goodall, Joanne (7006705248); Borgwardt, Stefan (12240845100); Studerus, Erich (25926685100); Gadelha, Ary (26667638000); Brietzke, Elisa (57193167331); Asevedo, Graccielle (57201498626); Asevedo, Elson (36959647200); Zugman, Andre (36959725200); Domínguez-Martínez, Tecelli (55945551200); Racioppi, Anna (57195527490); Kwapil, Thomas R. (6603921291); Monsonet, Manel (57195525831); Hinojosa, Lídia (57201504102); Kazes, Mathilde (6603612707); Daban, Claire (12760186700); Bourgin, Julie (36967463700); Gay, Olivier (55774493700); Mam-Lam-Fook, Célia (36675068300); Nordholm, Dorte (21741210900); Randers, Lasse (55811793200); Krakauer, Kristine (56539791100); Glenthøj, Louise (34976586900); Glenthøj, Birte (6603797629); Gebhard, Dominika (57201502283); Arnhold, Julia (57201500585); Klosterkötter, Joachim (7005883787); Lasser, Iris (55136246300); Winklbaur, Bernadette (13104714800); Delespaul, Philippe A. (7003439610)","57477857800; 57367673300; 57205209290; 26658653900; 26533083500; 7007141387; 7005592387; 57193569808; 58540179700; 14071680700; 57226214736; 57217026032; 6507516897; 55342465700; 7006191523; 6701546897; 7202202756; 57194506388; 57194115841; 58959533400; 23006795600; 23111078000; 57220155903; 57191439904; 57189022261; 57211064266; 56208698700; 55447940700; 56208538800; 57221640946; 58486837100; 57201501980; 7006705248; 12240845100; 25926685100; 26667638000; 57193167331; 57201498626; 36959647200; 36959725200; 55945551200; 57195527490; 6603921291; 57195525831; 57201504102; 6603612707; 12760186700; 36967463700; 55774493700; 36675068300; 21741210900; 55811793200; 56539791100; 34976586900; 6603797629; 57201502283; 57201500585; 7005883787; 55136246300; 13104714800; 7003439610","The effects of recent stressful life events on outcomes in individuals at clinical high risk for psychosis: Results from the longitudinal EU-GEI high-risk study","2024","Psychological Medicine","54","16","","4768","4778","10","10.1017/S0033291724003039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214869983&doi=10.1017%2fS0033291724003039&partnerID=40&md5=e3210469fb0d175196d2280b336434e3","Background Recent stressful life events (SLE) are a risk factor for psychosis, but limited research has explored how SLEs affect individuals at clinical high risk (CHR) for psychosis. The current study investigated the longitudinal effects of SLEs on functioning and symptom severity in CHR individuals, where we hypothesized CHR would report more SLEs than healthy controls (HC), and SLEs would be associated with poorer outcomes. Methods The study used longitudinal data from the EU-GEI High Risk study. Data from 331 CHR participants were analyzed to examine the effects of SLEs on changes in functioning, positive and negative symptoms over a 2-year follow-up. We compared the prevalence of SLEs between CHR and HCs, and between CHR who did (CHR-T) and did not (CHR-NT) transition to psychosis. Results CHR reported 1.44 more SLEs than HC (p < 0.001), but there was no difference in SLEs between CHR-T and CHR-NT at baseline. Recent SLEs were associated with poorer functioning and more severe positive and negative symptoms in CHR individuals (all p < 0.01) but did not reveal a significant interaction with time. Conclusions CHR individuals who had experienced recent SLEs exhibited poorer functioning and more severe symptoms. However, as the interaction between SLEs and time was not significant, this suggests SLEs did not contribute to a worsening of symptoms and functioning over the study period. SLEs could be a key risk factor to becoming CHR for psychosis, however further work is required to inform when early intervention strategies mitigating against the effects of stress are most effective.  Copyright © The Author(s), 2025.","Article","Scopus"
"Ku B.S.; Ren J.; Compton M.T.; Druss B.G.; Guo S.; Walker E.F.","Ku, Benson S. (57220507842); Ren, Jiyuan (58890900700); Compton, Michael T. (57203104255); Druss, Benjamin G. (7006370766); Guo, Shuyi (58891126600); Walker, Elaine F. (7402984843)","57220507842; 58890900700; 57203104255; 7006370766; 58891126600; 7402984843","The association between neighborhood-level social fragmentation and distressing psychotic-like experiences in early adolescence: The moderating role of close friends","2024","Psychological Medicine","54","9","","2172","2180","8","10.1017/S0033291724000278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185294708&doi=10.1017%2fS0033291724000278&partnerID=40&md5=099897dc6fc8a6c2f02a267071783b9d","Background Early exposure to neighborhood social fragmentation has been shown to be associated with schizophrenia. The impact of social fragmentation and friendships on distressing psychotic-like experiences (PLE) remains unknown. We investigate the relationships between neighborhood social fragmentation, number of friends, and distressing PLE among early adolescents. Methods Data were collected from the Adolescent Brain Cognitive Development Study. Generalized linear mixed models tested associations between social fragmentation and distressing PLE, as well as the moderating role of the number of total and close friends. Results Participants included 11 133 adolescents aged 9 to 10, with 52.3% being males. Greater neighborhood social fragmentation was associated with higher levels of distressing PLE (adjusted β = 0.05; 95% CI: 0.01-0.09). The number of close but not total friends significantly interacted with social fragmentation to predict distressing PLE (adjusted β =-0.02; 95% CI:-0.04 to <-0.01). Among those with fewer close friends, the association between neighborhood social fragmentation and distressing PLE was significant (adjusted β = 0.07; 95% CI: 0.03-0.11). However, among those with more close friends, the association was non-significant (adjusted β = 0.03; 95% CI:-0.01 to 0.07). Conclusions Greater neighborhood social fragmentation is associated with higher levels of distressing PLE, particularly among those with fewer close friends. Further research is needed to disentangle aspects of the interaction between neighborhood characteristics and the quality of social interactions that may contribute to psychosis, which would have implications for developing effective interventions at the individual and community levels.  © The Author(s), 2024.","Article","Scopus"
"Kendler K.S.; Ohlsson H.; Sundquist J.; Sundquist K.","Kendler, Kenneth S. (35396760800); Ohlsson, Henrik (35332901000); Sundquist, Jan (7005117768); Sundquist, Kristina (7004123201)","35396760800; 35332901000; 7005117768; 7004123201","The genetic epidemiology of schizotypal personality disorder","2024","Psychological Medicine","54","9","","2144","2151","7","10.1017/S0033291724000230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186255661&doi=10.1017%2fS0033291724000230&partnerID=40&md5=1392f8c7741573e8535754b9b6114440","Background The concept of schizotypal personality disorder (SPD) emerged from observations of personality characteristics common in relatives of schizophrenic patients. While often studied in family designs, few studies and none with genetic measures, have examined SPD in epidemiological samples. Methods We studied individuals born in Sweden 1940-2000 with an ICD-10 diagnosis of SPD with no prior schizophrenia (SZ) diagnosis (n = 2292). Demographic features, patterns of comorbidity, and Family Genetic Risk Scores (FGRS) were assessed from multiple Swedish registries. Prediction of progression to SZ was assessed by Cox models. Results SPD was rare, with a prevalence of 0.044%, and had high levels of comorbidity with autism spectrum disorder (ASD), OCD, ADHD, and major depression (MD), and increased rates of being single, unemployed and in receipt of welfare. Affected individuals had elevated levels of FGRS for SZ (+0.42), ASD (+0.30), MD (+0.29), and ADHD (+0.20). Compared to cases of schizophrenia, they had significantly lower rates of FGRSSZ, but significantly elevated rates of genetic risk for ASD, MD, and ADHD. Over a mean follow-up of 8.7 years, 14.6% of SPD cases received a first diagnosis of SZ, the risk for which was significantly increased by levels of FGRSSZ, male sex, young age at SPD diagnosis and an in-patient SPD diagnosis and significantly decreased by comorbidity with MD, ASD, and ADHD. Conclusions Our results not only support the designation of SPD as a schizophrenia spectrum disorder but also suggest potentially important etiologic links between SPD and ASD and, to a lesser extent, ADHD, OCD, and MD.  © The Author(s), 2024.","Article","Scopus"
