Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Document Type,Source
Sobel D.M.; Kamper D.G.; Song J.-H.,"Sobel, David M. (7004480764); Kamper, David G. (57928990700); Song, Joo-Hyun (8933324200)",7004480764; 57928990700; 8933324200,Distinct Inhibitory-Control Processes Underlie Children’s Judgments of Fairness,2024,Psychological Science,35,1,,93,107,14,10.1177/09567976231217420,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181746976&doi=10.1177%2f09567976231217420&partnerID=40&md5=5bdb120baa0bc4a8ff61f8486ad4f9a3,"We examined how 5- to 8-year-olds (N = 51; Mage = 83 months; 27 female, 24 male; 69% White, 12% Black/African American, 8% Asian/Asian American, 6% Hispanic, 6% not reported) and adults (N = 18; Mage = 20.13 years; 11 female, 7 male) accepted or rejected different distributions of resources between themselves and others. We used a reach-tracking method to track finger movement in 3D space over time. This allowed us to dissociate two inhibitory processes. One involved pausing motor responses to detect conflict between observed information and how participants thought resources should be divided; the other involved resolving the conflict between the response and the alternative. Reasoning about disadvantageous inequities involved more of the first system, and this was stable across development. Reasoning about advantageous inequities involved more of the second system and showed more of a developmental progression. Generally, reach tracking offers an on-line measure of inhibitory control for the study of cognition. © The Author(s) 2024.",Article,Scopus
Berkessel J.B.; Ebert T.; Gebauer J.E.; Rentfrow P.J.,"Berkessel, Jana B. (57194500330); Ebert, Tobias (57201384621); Gebauer, Jochen E. (11140570500); Rentfrow, Peter J. (6602274526)",57194500330; 57201384621; 11140570500; 6602274526,On the Unequal Burden of Obesity: Obesity’s Adverse Consequences Are Contingent on Regional Obesity Prevalence,2024,Psychological Science,35,11,,1260,1277,17,10.1177/09567976241265037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206947070&doi=10.1177%2f09567976241265037&partnerID=40&md5=4bb9d8f36d63cc6151a06ba6f493fbba,"Obesity has adverse consequences for those affected. We tested whether the association between obesity and its adverse consequences is reduced in regions in which obesity is prevalent and whether lower weight bias in high-obese regions can account for this reduction. Studies 1 and 2 used data from the United States (N = 2,846,132 adults across 2,546 counties) and United Kingdom (N = 180,615 adults across 380 districts) that assessed obesity’s adverse consequences in diverse domains: close relationships, economic outcomes, and health. Both studies revealed that the association between obesity and its adverse consequences is reduced (or absent) in high-obese regions. Study 3 used another large-scale data set (N = 409,837 across 2,928 U.S. counties) and revealed that lower weight bias in high-obese regions seems to account for (i.e., mediate) the reduction in obesity’s adverse consequences. Overall, our findings suggest that obesity’s adverse consequences are partly social and, thus, not inevitable. © The Author(s) 2024.",Article,Scopus
Nedergaard J.S.K.; Lupyan G.,"Nedergaard, Johanne S. K. (57222053867); Lupyan, Gary (6504431249)",57222053867; 6504431249,Not Everybody Has an Inner Voice: Behavioral Consequences of Anendophasia,2024,Psychological Science,35,7,,780,797,17,10.1177/09567976241243004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192997874&doi=10.1177%2f09567976241243004&partnerID=40&md5=92c3135f5b2e3cf70ac4e6528c56d35b,"It is commonly assumed that inner speech—the experience of thought as occurring in a natural language—is a human universal. Recent evidence, however, suggests that the experience of inner speech in adults varies from near constant to nonexistent. We propose a name for a lack of the experience of inner speech—anendophasia—and report four studies examining some of its behavioral consequences. We found that adults who reported low levels of inner speech (N = 46) had lower performance on a verbal working memory task and more difficulty performing rhyme judgments compared with adults who reported high levels of inner speech (N = 47). Task-switching performance—previously linked to endogenous verbal cueing—and categorical effects on perceptual judgments were unrelated to differences in inner speech. © The Author(s) 2024.",Article,Scopus
Ramsey A.T.; Liu Y.; Trueblood J.S.,"Ramsey, Adam T. (58942157300); Liu, Yanjun (57436919900); Trueblood, Jennifer S. (26647103000)",58942157300; 57436919900; 26647103000,Can Invalid Information Be Ignored When It Is Detected?,2024,Psychological Science,35,4,,328,344,16,10.1177/09567976241231571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187946739&doi=10.1177%2f09567976241231571&partnerID=40&md5=a4d8d70cf2ee9e9a13fd7fad4d783da7,"With the rapid spread of information via social media, individuals are prone to misinformation exposure that they may utilize when forming beliefs. Over five experiments (total N = 815 adults, recruited through Amazon Mechanical Turk in the United States), we investigated whether people could ignore quantitative information when they judged for themselves that it was misreported. Participants recruited online viewed sets of values sampled from Gaussian distributions to estimate the underlying means. They attempted to ignore invalid information, which were outlier values inserted into the value sequences. Results indicated participants were able to detect outliers. Nevertheless, participants’ estimates were still biased in the direction of the outlier, even when they were most certain that they detected invalid information. The addition of visual warning cues and different task scenarios did not fully eliminate systematic over- and underestimation. These findings suggest that individuals may incorporate invalid information they meant to ignore when forming beliefs. © The Author(s) 2024.",Article,Scopus
McEllin L.; Sebanz N.,"McEllin, Luke (57193235627); Sebanz, Natalie (57207605071)",57193235627; 57207605071,Synchrony Influences Estimates of Cooperation in a Public-Goods Game,2024,Psychological Science,35,2,,202,212,10,10.1177/09567976231223410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184167229&doi=10.1177%2f09567976231223410&partnerID=40&md5=fafc1564a0518d86807906a009392d50,"Benefiting from a cooperative interaction requires people to estimate how cooperatively other members of a group will act so that they can calibrate their own behavior accordingly. We investigated whether the synchrony of a group’s actions influences observers’ estimates of cooperation. Participants (recruited through Prolific) watched animations of actors deciding how much to donate in a public-goods game and using a mouse to drag donations to a public pot. Participants then estimated how much was in the pot in total (as an index of how cooperative they thought the group members were). Experiment 1 (N = 136 adults) manipulated the synchrony between players’ decision-making time, and Experiment 2 (N = 136 adults) manipulated the synchrony between players’ decision-implementing movements. For both experiments, estimates of how much was in the pot were higher for synchronous than asynchronous groups, demonstrating that the temporal dynamics of an interaction contain signals of a group’s level of cooperativity. © The Author(s) 2024.",Article,Scopus
Nair K.; Mosleh M.; Kouchaki M.,"Nair, Krishnan (57218644363); Mosleh, Mohsen (36761144000); Kouchaki, Maryam (51665356900)",57218644363; 36761144000; 51665356900,Racial Minorities Face Discrimination From Across the Political Spectrum When Seeking to Form Ties on Social Media: Evidence From a Field Experiment,2024,Psychological Science,35,11,,1278,1286,8,10.1177/09567976241274738,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206392887&doi=10.1177%2f09567976241274738&partnerID=40&md5=c5e5fa290b4ba61178482a3dd0de45e3,"We conducted a preregistered field experiment examining racial discrimination in tie formation on social media. We randomly assigned research accounts varying on race (Black, White) and politics (liberal/Democrat, conservative/Republican, neutral) to follow a politically balanced sample of Twitter (i.e., X) users (N = 5,951) who were unaware they were in a research study. We examined three predictions from the social and political psychology literatures: i) individuals favor White over Black targets, ii) this tendency is stronger for conservatives/Republicans than for liberals/Democrats, and iii) greater discrimination by conservatives/Republicans is explained by the assumption that racial minorities are liberal/Democrat. We found evidence that individuals were less likely to reciprocate social ties with Black accounts than White accounts. However, this tendency was not moderated by individuals’ political orientation, shared partisanship, or partisan mismatch. In sum, this work provides field experimental evidence for racial discrimination in tie formation on social media by individuals across political backgrounds. © The Author(s) 2024.",Article,Scopus
Merrell W.N.; Choi S.; Ackerman J.M.,"Merrell, Wilson N. (57408618500); Choi, Soyeon (57408794600); Ackerman, Joshua M. (15057559100)",57408618500; 57408794600; 15057559100,When and Why People Conceal Infectious Disease,2024,Psychological Science,35,3,,215,225,10,10.1177/09567976231221990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182991133&doi=10.1177%2f09567976231221990&partnerID=40&md5=35d97b058a17a844f4b9fc6a8ef012db,"People sick with infectious illnesses face negative social outcomes, like exclusion, and may take steps to conceal their illnesses from others. In 10 studies of past, current, and projected illness, we examined the prevalence and predictors of infection concealment in adult samples of U.S. university students, health-care employees, and online crowdsourced workers (total N = 4,110). About 75% reported concealing illness in interpersonal interactions, possibly placing others in harm’s way. Concealment motives were largely social (e.g., wanting to attend events like parties) and achievement oriented (e.g., completing work objectives). Disease characteristics, including potential harm and illness immediacy, also influenced concealment decisions. People imagining harmful (vs. mild) infections concealed illness less frequently, whereas participants who were actually sick concealed frequently regardless of illness harm, suggesting state-specific biases underlying concealment decisions. Disease concealment appears to be a widely prevalent behavior by which concealers trade off risks to others in favor of their own goals, creating potentially important public-health consequences. © The Author(s) 2024.",Article,Scopus
Sullivan A.D.W.; Merrill S.M.; Konwar C.; Coccia M.; Rivera L.; MacIsaac J.L.; Lieberman A.F.; Kobor M.S.; Bush N.R.,"Sullivan, Alexandra D. W. (57002384100); Merrill, Sarah M. (57212323400); Konwar, Chaini (57195981616); Coccia, Michael (37661371200); Rivera, Luisa (56902294300); MacIsaac, Julia L. (55059591300); Lieberman, Alicia F. (35894605100); Kobor, Michael S. (6603486133); Bush, Nicole R. (15052883900)",57002384100; 57212323400; 57195981616; 37661371200; 56902294300; 55059591300; 35894605100; 6603486133; 15052883900,Intervening After Trauma: Child–Parent Psychotherapy Treatment Is Associated With Lower Pediatric Epigenetic Age Acceleration,2024,Psychological Science,35,9,,1062,1073,11,10.1177/09567976241260247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201389568&doi=10.1177%2f09567976241260247&partnerID=40&md5=65d742ea6fc0fd1e64e8b45671db432c,"Early-life adversity increases the risk of health problems. Interventions supporting protective and responsive caregiving offer a promising approach to attenuating adversity-induced changes in stress-sensitive biomarkers. This study tested whether participation in an evidence-based dyadic psychosocial intervention, child–parent psychotherapy (CPP), was related to lower epigenetic age acceleration, a trauma-sensitive biomarker of accelerated biological aging that is associated with later health impairment, in a sample of children with trauma histories. Within this quasi-experimental, repeated-measures study, we examined epigenetic age acceleration at baseline and postintervention in a low-income sample of children receiving CPP treatment (n = 45; age range = 2–6 years; 76% Latino) compared with a weighted, propensity-matched community-comparison sample (n = 110; age range = 3–6 years; 40% Latino). Baseline epigenetic age acceleration was equivalent across groups. However, posttreatment, epigenetic age acceleration in the treatment group was lower than in the matched community sample. Findings highlight the potential for a dyadic psychosocial intervention to ameliorate accelerated biological aging in trauma-exposed children. © The Author(s) 2024.",Article,Scopus
Binning K.R.; Doucette D.; Conrique B.G.; Singh C.,"Binning, Kevin R. (22940035600); Doucette, Danny (57206481048); Conrique, Beverly G. (57218363459); Singh, Chandralekha (7401801404)",22940035600; 57206481048; 57218363459; 7401801404,Unlocking the Benefits of Gender Diversity: How an Ecological-Belonging Intervention Enhances Performance in Science Classrooms,2024,Psychological Science,35,3,,226,238,12,10.1177/09567976231221534,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185457261&doi=10.1177%2f09567976231221534&partnerID=40&md5=9b541ed99f525f14b3986e53a7071c11,"Gender diversity signals inclusivity, but meta-analyses suggest that it does not boost individual or group performance. This research examined whether a social-psychological intervention can unlock the benefits of gender diversity on college physics students’ social and academic outcomes. Analyses of 124 introductory physics classrooms at a large research institution in the eastern United States (N = 3,605) indicated that in classrooms doing “business as usual,” cross-gender collaboration was infrequent, there was a substantial gender gap in physics classroom belonging, and classroom gender diversity had no effect on performance. The ecological-belonging intervention aimed to establish classroom norms that adversity in the course is normal and surmountable. In classrooms receiving the intervention, cross-gender interaction increased 51%, the gender gap in belonging was reduced by 47%, and higher classroom diversity was associated with higher course grades and 1-year grade point average for both men and women. Addressing contextual belongingness norms may help to unlock the benefits of diversity. © The Author(s) 2024.",Article,Scopus
Prinzing M.,"Prinzing, Michael (57196033234)",57196033234,Proenvironmental Behavior Increases Subjective Well-Being: Evidence From an Experience-Sampling Study and a Randomized Experiment,2024,Psychological Science,35,9,,951,961,10,10.1177/09567976241251766,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194561826&doi=10.1177%2f09567976241251766&partnerID=40&md5=7334081b61ce2f0b903d08b775a72a56,"Two preregistered studies investigated whether engaging in proenvironmental behavior increases a person’s well-being. A 10-day experience-sampling study (7,161 observations from 181 adults in 14 countries, primarily the United States) revealed positive within-person and between-person associations, and a randomized controlled experiment (N = 545 U.S. undergraduates) found that incorporating proenvironmental behavior into individuals’ daily activities increased their experiences of happiness and meaning in life. Indeed, the effect was comparable to incorporating activities selected specifically to elicit such positive states, though these results may be affected by demand characteristics. The studies also offered some tentative preliminary evidence about why such an effect might emerge. There was some support for the hypothesis that proenvironmental behavior affects well-being by creating a “warm glow.” But overall the findings align more closely with the hypothesis that proenvironmental behavior helps to satisfy individuals’ basic psychological needs. © The Author(s) 2024.",Article,Scopus
