"scenario","true_link_function","fitted_link_function","interaction_p","interaction_coef","dharma_uniformity_p","dharma_dispersion_p","dharma_quantile_fitted_p","dharma_quantile_predictor_p","dharma_categorical_design_p","dharma_valid_tests","dharma_tests_used","pregibon_link_test_p","dharma_wrong_uniformity_p","dharma_wrong_dispersion_p","dharma_wrong_quantile_fitted_p","dharma_wrong_quantile_predictor_p","dharma_wrong_categorical_design_p","dharma_wrong_valid_tests","dharma_wrong_tests_used","dharma_correct_uniformity_p","dharma_correct_dispersion_p","dharma_correct_quantile_fitted_p","dharma_correct_quantile_predictor_p","dharma_correct_categorical_design_p","dharma_correct_valid_tests","dharma_correct_tests_used","pregibon_wrong_p","pregibon_correct_p","aic_true_link_interaction","aic_fitted_link_interaction","aic_favors_true_link","aic_favors_fitted_link","aic_fitted_minus_true","target_fit_converged","target_fit_gradient_max","target_fit_hessian_min_eigen"
"Count errors","log","identity",3.83130278794801e-05,-1.01370533605231,0.221470332075139,0.304,0.0220766045638019,0.0363557907093697,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.3261994243697e-05,0.221470332075139,0.304,0.0220766045638019,0.0363557907093697,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.478836880558364,0.496,0.0254536008146434,0.274104874031687,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.3261994243697e-05,0.308676656099599,742.300531814186,760.315562651426,TRUE,FALSE,18.01503083724,NA,NA,NA
"Count errors","log","identity",9.4754558622085e-08,-1.18388916796842,0.436074757558209,0.216,0.00521636395896256,0.15667869916314,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00165448601598333,0.436074757558209,0.216,0.00521636395896256,0.15667869916314,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.423242708335237,0.504,0.887231197427596,0.770864379745694,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00165448601598333,0.283291016988922,733.338842844597,742.351256599767,TRUE,FALSE,9.01241375517031,NA,NA,NA
"Count errors","log","identity",0.000871309241969914,-0.848616578815664,0.913466624546686,0.816,0.00732044975326163,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00128078393353954,0.913466624546686,0.816,0.00732044975326163,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.319523983857993,0.488,0.996796300363527,0.956498198839041,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00128078393353954,0.730332121726996,723.672796512029,737.712778270211,TRUE,FALSE,14.0399817581823,NA,NA,NA
"Count errors","log","identity",0.000405324948185259,-0.876977173209106,0.330469099974368,0.496,6.30691716687287e-05,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.45556236918928e-09,0.330469099974368,0.496,6.30691716687287e-05,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.578523335088627,0.224,0.67843350210956,0.823779369915456,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.45556236918928e-09,0.371549965652379,737.029627308424,775.865866895257,TRUE,FALSE,38.836239586833,NA,NA,NA
"Count errors","log","identity",4.65424796681773e-07,-1.15250962805679,0.516626079306736,0.24,0.0855622771247294,0.000261223332695182,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",9.24000645718086e-06,0.516626079306736,0.24,0.0855622771247294,0.000261223332695182,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.757111465695643,0.664,0.923617915523286,0.977178579968249,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",9.24000645718086e-06,0.383882920540565,731.033233487692,753.693687377027,TRUE,FALSE,22.6604538893345,NA,NA,NA
"Count errors","log","identity",5.97105634789513e-07,-1.16715925078337,0.670959924641603,0.472,0.0165678199795181,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",5.1388037609609e-07,0.670959924641603,0.472,0.0165678199795181,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.161386100226643,0.24,0.869945182928296,0.834828308088398,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",5.1388037609609e-07,0.190031209914428,724.953639302871,760.964779728824,TRUE,FALSE,36.0111404259526,NA,NA,NA
"Count errors","log","identity",9.76578056001368e-06,-1.10124985908572,0.0290165031801146,0.048,0.0208787034978267,0.000297916056477887,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",4.39554769376502e-08,0.0290165031801146,0.048,0.0208787034978267,0.000297916056477887,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.484082379110981,0.456,0.395286508727208,0.339671112907805,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",4.39554769376502e-08,0.797361082720521,749.853638549571,780.041966660594,TRUE,FALSE,30.1883281110235,NA,NA,NA
"Count errors","log","identity",5.25470100500876e-07,-1.14790894395534,0.994171357393348,0.928,0.0803936128254214,0.0165525325466149,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",8.52929063388291e-05,0.994171357393348,0.928,0.0803936128254214,0.0165525325466149,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.369872437362928,0.24,0.614362973968194,0.911172280281361,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",8.52929063388291e-05,0.738014605103218,711.789010934887,728.33622823685,TRUE,FALSE,16.5472173019633,NA,NA,NA
"Count errors","log","identity",0.00247673910043423,-0.709300767283186,0.22228182435901,0.016,0.040928171625414,1.27690321396479e-05,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.92294997139134e-07,0.22228182435901,0.016,0.040928171625414,1.27690321396479e-05,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.585131591537861,0.496,0.475209524549114,0.473432194964885,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.92294997139134e-07,0.352739712817674,758.67041209016,792.664533147564,TRUE,FALSE,33.9941210574045,NA,NA,NA
"Count errors","log","identity",2.3516937820435e-05,-1.14091862777641,0.533119168931913,0.192,0.0980572939915228,0.000860671943738622,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.88495243713929e-05,0.533119168931913,0.192,0.0980572939915228,0.000860671943738622,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.935493149336941,0.84,0.930686858244498,0.932608394881934,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.88495243713929e-05,0.262078933880765,740.948578669522,761.024619665428,TRUE,FALSE,20.0760409959057,NA,NA,NA
