"scenario_id","family","slice","slice_membership","paper_anchor","scenario_label","generating_model","generating_link","fitted_model_set","fitted_link_set","base_seed","seed_rule","B","alpha","generating_interaction","N","k_trials","chance","age_min","age_max","age_center","beta_intercept","beta_age","beta_group","beta_age_group","beta_main_1_multiplier","beta_main_2_multiplier","varied_parameter","varied_value","J","item_max","theta_sd","beta_x","beta_x_group","x_min","x_max","threshold_shift","n_subjects","target_icc","reference_beta_intercept","reference_beta_group","reference_beta_condition","reference_beta_group_condition","logit_probit_scale","coefficient_scale","beta_condition","beta_group_condition","model_label","fitted_link","fit_structure","B_requested","n_attempted","n_successful_fits","n_failed_fits","fit_success_rate","false_positive_count","false_positive_rate","false_positive_mc_se","false_positive_ci_low","false_positive_ci_high","median_interaction_coefficient","median_interaction_se","median_response_scale_did","median_outcome_scale_did","deterministic_pseudo_interaction","deterministic_response_scale_did","n_convergence_problems","convergence_problem_rate","fit_problem_messages","rate_type","generated_at","atlas_version","run_type"
"FC-001","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"Chance-corrected binomial logit","chance-corrected logit",,3000,3000,3000,0,1,127,0.0423333333333333,0.00367610401658342,0.0356944484943577,0.0501427910388906,-0.0017206427584816,0.172135820620801,-0.0783580069525909,-1.56716013905182,0,-0.0770488161853033,0,0,"","Nominal generating-scale rejection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-001","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"Gaussian identity","identity",,3000,3000,3000,0,1,1353,0.451,0.00908476747088223,0.433268125316847,0.468857201858235,-0.0219329407598183,0.0118331328030653,-0.087731763039273,-1.75463526078546,-0.0770488161853033,-0.0770488161853033,0,0,"","Pseudo-interaction detection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-001","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"Standard binomial logit","logit",,3000,3000,3000,0,1,1779,0.593,0.00896941098028925,0.575312186519451,0.610449947617639,-0.115616634546032,0.0520185343511496,-0.0869128817293378,-1.73825763458676,-0.452678649406715,-0.0770488161853033,0,0,"","Pseudo-interaction detection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-001","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"Standard binomial probit","probit",,3000,3000,3000,0,1,1717,0.572333333333333,0.00903267935312088,0.55454818571971,0.589933474164693,-0.0690602815658819,0.0318737976693663,-0.0870195549716475,-1.74039109943295,-0.262364478700272,-0.0770488161853033,0,0,"","Pseudo-interaction detection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Chance-corrected binomial logit","chance-corrected logit",,3000,3000,3000,0,1,173,0.0576666666666667,0.00425602405312056,0.0498768552486158,0.0665878329237225,0.000787749913173275,0.117054150842359,-0.0362875282545482,-0.725750565090965,0,-0.0358519356909944,0,0,"","Nominal generating-scale rejection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Gaussian identity","identity",,3000,3000,3000,0,1,447,0.149,0.00650125628885167,0.136706889044233,0.162190862760946,-0.0107153645160735,0.0110924385947458,-0.042861458064294,-0.85722916128588,-0.0358519356909944,-0.0358519356909944,0,0,"","Pseudo-interaction detection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Standard binomial logit","logit",,3000,3000,3000,0,1,1672,0.557333333333333,0.00906849654736824,0.539497303437262,0.575022721908901,-0.119820165607778,0.0565321053679329,-0.0424050263343846,-0.848100526687692,-0.472741965870331,-0.0358519356909944,0,0,"","Pseudo-interaction detection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Standard binomial probit","probit",,3000,3000,3000,0,1,1438,0.479333333333333,0.00912090801197792,0.461494526537351,0.497224999209963,-0.0639791915510726,0.0335208248251587,-0.0418161142315656,-0.836322284631312,-0.242607035150972,-0.0358519356909944,0,0,"","Pseudo-interaction detection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-003","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Higher performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0.8,0.6,-0.9,0,1,1,"beta_intercept",0.8,,,,,,,,,,,,,,,,,,,"Chance-corrected binomial logit","chance-corrected logit",,3000,3000,3000,0,1,139,0.0463333333333333,0.00383781863196424,0.0393739739697314,0.0544530347737143,-0.00248333117633426,0.0978435241552953,0.0272313276008699,0.544626552017399,0,0.028305175273671,0,0,"","Nominal generating-scale rejection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
"FC-003","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Higher performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0.8,0.6,-0.9,0,1,1,"beta_intercept",0.8,,,,,,,,,,,,,,,,,,,"Gaussian identity","identity",,3000,3000,3000,0,1,382,0.127333333333333,0.00608603745074345,0.115879610228762,0.139740225021181,0.00810168250421537,0.00985980143206594,0.0324067300168615,0.648134600337229,0.028305175273671,0.028305175273671,0,0,"","Pseudo-interaction detection rate","2026-08-25 20:22:43 UTC","0.1.0","full"
