"table_part","scenario","age","group","linear_predictor","expected_accuracy","expected_correct_out_of_k_trials","contrast","value_probability_points","value_correct_out_of_k_trials","link_scale_value"
"implied_values","2-AFC chance-floor motivating example",6,"Group 0",-2,0.559601461011059,27.9800730505529,NA,NA,NA,NA
"implied_values","2-AFC chance-floor motivating example",8,"Group 0",0,0.75,37.5,NA,NA,NA,NA
"implied_values","2-AFC chance-floor motivating example",10,"Group 0",2,0.940398538988941,47.0199269494471,NA,NA,NA,NA
"implied_values","2-AFC chance-floor motivating example",6,"Group 1",-3.4,0.516147732349225,25.8073866174613,NA,NA,NA,NA
"implied_values","2-AFC chance-floor motivating example",8,"Group 1",-1.4,0.598908055720709,29.9454027860355,NA,NA,NA,NA
"implied_values","2-AFC chance-floor motivating example",10,"Group 1",0.6,0.822828153112898,41.1414076556449,NA,NA,NA,NA
"derived_contrasts","2-AFC chance-floor motivating example",NA,NA,NA,NA,NA,"Group difference at youngest age: Group 1 minus Group 0",-0.0434537286618335,-2.17268643309168,NA
"derived_contrasts","2-AFC chance-floor motivating example",NA,NA,NA,NA,NA,"Group difference at oldest age: Group 1 minus Group 0",-0.117570385876043,-5.87851929380217,NA
"derived_contrasts","2-AFC chance-floor motivating example",NA,NA,NA,NA,NA,"Age-related change in Group 0: oldest minus youngest",0.380797077977882,19.0398538988941,NA
"derived_contrasts","2-AFC chance-floor motivating example",NA,NA,NA,NA,NA,"Age-related change in Group 1: oldest minus youngest",0.306680420763672,15.3340210381836,NA
"derived_contrasts","2-AFC chance-floor motivating example",NA,NA,NA,NA,NA,"Change in group difference from youngest to oldest age",-0.0741166572142099,-3.70583286071049,NA
"derived_contrasts","2-AFC chance-floor motivating example",NA,NA,NA,NA,NA,"Generating link-scale age-by-group product term",NA,NA,0
