"scenario","model","n_common_convergence_replications","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","mean_interaction_coef","sd_interaction_coef","q25_interaction_coef","q75_interaction_coef","q025_interaction_coef","q975_interaction_coef","median_abs_coef_significant","median_abs_coef_nonsignificant","median_change_in_group_difference_response_scale","median_change_in_group_difference_outcome_units","mean_change_in_group_difference_outcome_units","sd_change_in_group_difference_outcome_units","rate_type"
"Lower performance","Gaussian identity",3000,3000,1306,0.435333333333333,0.417685517299604,0.453146547135538,-0.0215844766935847,-0.0215583142304244,0.011788414073913,-0.0293221554944074,-0.013883829214291,-0.0449767954753017,0.00183969509190462,0.0306146432668685,0.0148515042048846,-0.0863379067743389,-1.72675813548678,-1.72466513843395,0.943073125913043,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial logit",3000,3000,1787,0.595666666666667,0.57799373990443,0.613094907039458,-0.114794695923579,-0.114631182376071,0.052546617278665,-0.148869712501404,-0.0799250469646381,-0.218516351298651,-0.0100970390403005,0.141799990122998,0.0702825247106327,-0.0853804474690153,-1.70760894938031,-1.70123119150378,0.931065782909019,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial probit",3000,3000,1716,0.572,0.554213542209389,0.589602303574164,-0.0682675507655625,-0.0682333293510089,0.0322264432196612,-0.0894203504039737,-0.0468815706002421,-0.131954139313877,-0.00385305952399052,0.0862139984821244,0.0426053452211887,-0.0857859055929193,-1.71571811185839,-1.71080877932033,0.933725234649336,"Pseudo-interaction detection rate"
"Lower performance","Chance-corrected binomial logit",3000,3000,121,0.0403333333333333,0.0338610506977888,0.0479813042303608,0.00441895775791213,0.00968267270376952,0.179588246952586,-0.114996155132089,0.124365256373789,-0.319668812672284,0.377961420992253,0.408946127788944,0.113937361640007,-0.0776425087909094,-1.55285017581819,-1.53678077820305,0.863858512127828,"Nominal rejection rate"
"Middle performance","Gaussian identity",3000,3000,452,0.150666666666667,0.138313058784124,0.163913763525304,-0.010714372967192,-0.0107484687308726,0.0107360950506932,-0.0181203546741627,-0.00325486188278174,-0.0317644362389113,0.0100291287854566,0.0260737320607096,0.00951212117239395,-0.042857491868768,-0.857149837375359,-0.859877498469811,0.85888760405546,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial logit",3000,3000,1712,0.570666666666667,0.552875050042314,0.58827753933784,-0.120007674284833,-0.120305555343355,0.0550643881547551,-0.157156098414897,-0.0815778643975217,-0.22893533299296,-0.0119154802575206,0.151797817440732,0.075699540169711,-0.0438603472937795,-0.87720694587559,-0.866484618314485,0.846514044646448,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial probit",3000,3000,1450,0.483333333333333,0.465484073904657,0.501225221052853,-0.0643619255547068,-0.0643179739948485,0.0327624891956301,-0.0861724159176134,-0.0412666158319828,-0.128619204907044,2.9882791988148e-07,0.0867925359416994,0.0421146960293533,-0.0430902129704293,-0.861804259408585,-0.853469914083523,0.845561091930315,"Pseudo-interaction detection rate"
"Middle performance","Chance-corrected binomial logit",3000,3000,131,0.0436666666666667,0.0369191397430311,0.0515813561936164,-0.00110645524267911,-1.946718001857e-05,0.115499356436467,-0.0800000337364015,0.0785102648806049,-0.225866690005066,0.226547271170681,0.266158099968944,0.0763773122167081,-0.0365745387814043,-0.731490775628086,-0.731944827162855,0.735437589535249,"Nominal rejection rate"
"Higher performance","Gaussian identity",3000,3000,416,0.138666666666667,0.126761180938444,0.151496333740392,0.00842779621668619,0.00846704745315597,0.00999677989591463,0.00171717815647078,0.0151653871809753,-0.0112806907554033,0.0281771739577879,0.0231249655084389,0.00797543580273322,0.0337111848667447,0.674223697334895,0.677363796252477,0.79974239167317,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial logit",3000,3000,965,0.321666666666667,0.305188643757043,0.338600812288323,-0.0994351546939533,-0.098682517973935,0.0663136869842189,-0.142618616310398,-0.0540674311144051,-0.23183707202014,0.029307922299259,0.163582709783404,0.0726567973758198,0.0296669351887565,0.59333870377513,0.59362172400887,0.80068279077298,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial probit",3000,3000,572,0.190666666666667,0.177008811609282,0.205115702802119,-0.0393680720675976,-0.0393819811895656,0.0372943677834338,-0.0643437694351552,-0.0143762141650374,-0.113844142622742,0.0328053676987575,0.087993222339371,0.0329886288202679,0.032070275280237,0.64140550560474,0.644215616240769,0.787301130539229,"Pseudo-interaction detection rate"
"Higher performance","Chance-corrected binomial logit",3000,3000,156,0.052,0.044612373435453,0.060533475022439,0.00164494833326496,0.00144113623207048,0.0993862660043082,-0.0661412172224576,0.0674434449153386,-0.194245127193353,0.197769591615941,0.224969870497008,0.0624025520676981,0.0285319312565774,0.570638625131549,0.567183117444927,0.689532661935066,"Nominal rejection rate"
