"scenario","model","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","mean_interaction_coef","sd_interaction_coef","q25_interaction_coef","q75_interaction_coef","q025_interaction_coef","q975_interaction_coef","median_abs_coef_significant","median_abs_coef_nonsignificant","median_change_in_group_difference_response_scale","median_change_in_group_difference_outcome_units","mean_change_in_group_difference_outcome_units","sd_change_in_group_difference_outcome_units","rate_type"
"Lower performance","Gaussian identity",3000,1247,0.415666666666667,0.398149860256252,0.433399172228753,-0.0210622325950506,-0.0211544795956936,0.0117776032161572,-0.029170941263538,-0.0133471795553878,-0.0441450731327464,0.00179213914322973,0.0307468046924893,0.0147768299941471,-0.0842489303802023,-1.68497860760405,-1.69235836765549,0.942208257292574,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial logit",3000,1748,0.582666666666667,0.564926210354188,0.600195686656558,-0.11220766767856,-0.112771486966327,0.0522423816821417,-0.148556484309328,-0.0784522069187201,-0.215639624600467,-0.0106667984611877,0.140273199882096,0.0704550142700952,-0.0830264344355156,-1.66052868871031,-1.66958747582605,0.929276606370295,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial probit",3000,1676,0.558666666666667,0.540834493100519,0.576348788649043,-0.066804194199781,-0.0671228000115437,0.0320651666527662,-0.0890254047485505,-0.0459363786032942,-0.130143072786995,-0.00448412612476582,0.0855343540908046,0.0425369700500545,-0.083787672025315,-1.6757534405063,-1.67969406953549,0.931932440813132,"Pseudo-interaction detection rate"
"Lower performance","Chance-corrected binomial logit",1682,69,0.0410225921521998,0.0325429174571416,0.0515939733984892,0.169532645532336,17.434607769461,30.1974511121293,-0.041133432806076,20.6744187020193,-1.72209943669819,100.723675145483,0.369892820829128,0.103280615341847,-0.0592690251079961,-1.18538050215992,-1.66870331605683,2.07110434422109,"Nominal rejection rate"
"Middle performance","Gaussian identity",3000,479,0.159666666666667,0.146995541091339,0.173208261941033,-0.0105227931326728,-0.0107587062102275,0.0110765892790969,-0.0179047645007582,-0.00336955352591324,-0.0331327391789258,0.00981788215232022,0.0268127621158338,0.00932361633761734,-0.0420911725306913,-0.841823450613826,-0.860696496818201,0.886127142327751,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial logit",3000,1669,0.556333333333333,0.538494496201,0.574028086842613,-0.11994149164202,-0.119938051018572,0.0569209153146099,-0.158047493637695,-0.0810305764147766,-0.23271445550714,-0.0107590765139933,0.152760611807699,0.0759897749247116,-0.042676881410353,-0.853537628207061,-0.866748649278689,0.874212644598392,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial probit",3000,1438,0.479333333333333,0.461494526537351,0.497224999209963,-0.0641434070934225,-0.0641130309287575,0.0338496845452371,-0.0865943884191382,-0.0412172687096329,-0.132114749035691,0.000518922804210941,0.0877222191150699,0.0420939261739895,-0.0423284610405305,-0.84656922081061,-0.853499610362067,0.872877447610237,"Pseudo-interaction detection rate"
"Middle performance","Chance-corrected binomial logit",3000,169,0.0563333333333333,0.0486360090473604,0.0651654227215788,-0.00165183480456418,-0.00152343151156784,0.118726482763925,-0.0794962018209433,0.0759893596351975,-0.239519190031897,0.234454314319072,0.264372522305917,0.0731139687894422,-0.0364754285518538,-0.729508571037076,-0.739485350851728,0.761033240831989,"Nominal rejection rate"
"Higher performance","Gaussian identity",3000,401,0.133666666666667,0.121956891509647,0.146313411656442,0.00841236650151761,0.00817835291423283,0.00996717473448716,0.00167547037671361,0.0146282030180038,-0.0117747732762564,0.0277123326967452,0.0233653510002033,0.00800734971966726,0.0336494660060704,0.672989320121409,0.654268233138627,0.797373978758973,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial logit",3000,990,0.33,0.313400724533962,0.347034084032649,-0.099604280330347,-0.100332426723378,0.0659910999193428,-0.144278236192609,-0.0575463275651038,-0.230371274954069,0.0281624074129313,0.164659173486737,0.0729198078411332,0.0290364229799911,0.580728459599823,0.569086982576904,0.799563527065961,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial probit",3000,579,0.193,0.179273962582423,0.207511250534927,-0.0398787502832539,-0.0402968798967328,0.0370992569592752,-0.0647040166774805,-0.016315565975682,-0.113416037494315,0.0326785712742234,0.0890538443583309,0.0335660215553164,0.0315936385397855,0.631872770795709,0.620649260636003,0.786367695681187,"Pseudo-interaction detection rate"
"Higher performance","Chance-corrected binomial logit",3000,161,0.0536666666666667,0.0461582190295866,0.0623166999325544,-0.00135559896595754,-0.00148195743890062,0.099239584279306,-0.0677713755814875,0.0628009217200916,-0.193004661824661,0.200071108350524,0.220657436612664,0.0614549795967848,0.0278457998802727,0.556915997605454,0.549769824070739,0.690464259865832,"Nominal rejection rate"
